package_nr,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,total_runtime,time_delta
62,-74.36157989501953,-12.753650935337644,-69.05045229359528,4.229150233139855e-06,0,7.715952157974243,0
63,-73.67292785644531,548.5120054800062,10.771707366075132,0.012834789231419562,0,7.715952157974243,139
0,-76.08547973632812,-12.338924352661705,546.5888825710862,-0.011088559670469065,0,7.716952323913574,54
1,7494.25732421875,-6.346682539515313,-34.543489528005004,-0.5722046580558525,0,7.722952604293823,54
2,-73.78694915771484,-12.586115190060807,-76.63860887987538,6.943992256203123e-05,0,7.727952480316162,67
3,-74.93621826171875,-12.251135376573073,-76.64692529942839,3.4651747096714474e-05,0,7.733952522277832,62
4,-74.71354675292969,-0.3625439148891018,344.3547757342457,0.4023314801315791,0,7.739952325820923,139
5,-73.78694915771484,-12.251135376573073,-76.63860887987538,6.943992256203123e-05,0,7.745952367782593,79
6,-73.21231842041016,-12.16736791320727,-76.64692529942839,3.4651747096714474e-05,0,7.750952243804932,61
7,-73.10457611083984,-0.3625439148891018,347.0228140940889,0.4023314801315791,0,7.755952596664429,139
8,-74.36157989501953,-12.334842267591737,-76.63860887987538,6.943992256203123e-05,0,7.755952596664429,80
9,-72.63768005371094,-12.41860973095754,-76.64692529942839,3.4651747096714474e-05,0,7.755952596664429,61
10,-73.56428527832031,-0.3625439148891018,347.0228140940889,0.4023314801315791,0,7.755952596664429,139
11,-73.78694915771484,-12.586115190060807,-76.63860887987538,6.943992256203123e-05,0,7.755952596664429,79
12,-74.93621826171875,-12.669883471971842,-76.64692529942839,3.4651747096714474e-05,0,7.755952596664429,61
13,-74.25383758544922,-0.3625439148891018,344.3547757342457,0.40512545638193836,0,7.755952596664429,139
14,-75.51084899902344,-12.669883471971842,-76.63860887987538,6.943992256203123e-05,0,7.755952596664429,80
15,-74.36157989501953,-12.586115190060807,-76.64692529942839,3.4651747096714474e-05,0,7.755952596664429,62
16,-74.25383758544922,-0.3625439148891018,344.3547757342457,0.40791943263229763,0,7.755952596664429,139
17,-75.51084899902344,-12.251135376573073,-76.63860887987538,6.943992256203123e-05,0,7.755952596664429,79
18,-73.21231842041016,-12.502378012868574,-76.64692529942839,3.4651747096714474e-05,0,7.755952596664429,61
19,-71.97685241699219,-0.3750983523786999,-776.7379749566315,-0.6683166020593488,0,7.75695276260376,139
20,-74.93621826171875,-12.16736791320727,-76.63860887987538,6.943992256203123e-05,0,7.76295280456543,79
21,-74.93621826171875,-12.334842267591737,-76.64692529942839,3.4651747096714474e-05,0,7.768952369689941,62
22,-72.4150161743164,-0.3625439148891018,349.69074768014247,0.3995375294607583,0,7.780952453613281,140
23,-74.36157989501953,-12.41860973095754,-76.63860887987538,6.943992256203123e-05,0,7.780952453613281,79
24,-74.93621826171875,-12.334842267591737,-76.64692529942839,3.4651747096714474e-05,0,7.780952453613281,62
25,-73.56428527832031,-0.3625439148891018,347.0228140940889,0.4023314801315791,0,7.780952453613281,139
26,-74.36157989501953,-12.41860973095754,-76.63860887987538,6.943992256203123e-05,0,7.780952453613281,80
27,-76.66011810302734,-12.502378012868574,-76.64692529942839,3.4651747096714474e-05,0,7.780952453613281,62
28,-74.25383758544922,-0.3625439148891018,347.0228140940889,0.41350735955347767,0,7.780952453613281,140
29,-75.51084899902344,-12.41860973095754,-76.63860887987538,6.943992256203123e-05,0,7.790966510772705,80
30,-73.78694915771484,-12.41860973095754,-76.64692529942839,3.4651747096714474e-05,0,7.790966510772705,62
31,-72.4150161743164,-0.3625439148891018,352.35878603998566,0.3995375294607583,0,7.791966676712036,139
32,-71.48841094970703,-12.251135376573073,-76.63860887987538,6.943992256203123e-05,0,7.802966594696045,79
33,-74.93621826171875,-12.502378012868574,-76.64692529942839,3.4651747096714474e-05,0,7.802966594696045,61
34,-73.56428527832031,-0.3625439148891018,344.3547757342457,0.3995375294607583,0,7.802966594696045,139
35,-72.63768005371094,-12.41860973095754,-76.64692529942839,3.4651747096714474e-05,0,7.802966594696045,80
36,-73.78694915771484,-12.334842267591737,-76.64692529942839,3.4651747096714474e-05,0,7.802966594696045,62
37,-73.33442687988281,-0.3625439148891018,352.35878603998566,0.4023314801315791,0,7.802966594696045,139
38,-76.66011810302734,-12.502378012868574,-76.64692529942839,3.4651747096714474e-05,0,7.802966594696045,79
39,-73.10457611083984,-0.3625439148891018,349.69074768014247,0.4023314801315791,0,7.802966594696045,139
40,-72.63768005371094,-12.251135376573073,-76.64692529942839,3.4651747096714474e-05,0,7.802966594696045,79
41,-74.25383758544922,-0.3625439148891018,349.69074768014247,0.4107133833031184,0,7.802966594696045,139
42,-76.08547973632812,-12.502378012868574,-76.64692529942839,3.4651747096714474e-05,0,7.802966594696045,79
43,-74.71354675292969,-0.3625439148891018,344.3547757342457,0.3995375294607583,0,7.802966594696045,139
44,-76.08547973632812,-12.502378012868574,-76.63860887987538,6.943992256203123e-05,0,7.802966594696045,79
45,-74.36157989501953,-12.753650935337644,-76.64692529942839,3.4651747096714474e-05,0,7.802966594696045,61
46,-75.17325592041016,-0.3625439148891018,341.6867373744025,0.40791943263229763,0,7.802966594696045,139
47,-72.63768005371094,-12.41860973095754,-76.64692529942839,3.4651747096714474e-05,0,7.803966283798218,79
48,-73.10457611083984,-0.3625439148891018,352.35878603998566,0.3995375294607583,0,7.804471731185913,139
49,-75.51084899902344,-12.753650935337644,-76.63860887987538,6.943992256203123e-05,0,7.804471731185913,80
50,-74.36157989501953,-12.669883471971842,-76.64692529942839,3.4651747096714474e-05,0,7.804471731185913,62
51,-76.55237579345703,-0.3625439148891018,339.018803788349,0.40791943263229763,0,7.804471731185913,139
52,-73.78694915771484,-12.669883471971842,-76.64692529942839,3.4651747096714474e-05,0,7.804471731185913,79
53,-75.40310668945312,-0.3625439148891018,344.3547757342457,0.40791943263229763,0,7.809482574462891,139
54,-73.78694915771484,-12.502378012868574,-76.64692529942839,3.4651747096714474e-05,0,7.8154826164245605,79
55,-75.40310668945312,-0.3625439148891018,339.018803788349,0.40512545638193836,0,7.8154826164245605,139
56,-73.21231842041016,-12.41860973095754,-76.64692529942839,3.4651747096714474e-05,0,7.8154826164245605,79
57,-73.56428527832031,-0.3625439148891018,347.0228140940889,0.4023314801315791,0,7.8154826164245605,139
58,-73.21231842041016,-12.334842267591737,-76.63860887987538,6.943992256203123e-05,0,7.8154826164245605,79
59,-74.36157989501953,-12.251135376573073,-76.64692529942839,3.4651747096714474e-05,0,7.8154826164245605,61
60,-73.56428527832031,-0.3625439148891018,349.69074768014247,0.40512545638193836,0,7.8154826164245605,139
61,-74.36157989501953,-12.41860973095754,-76.64692529942839,3.4651747096714474e-05,0,7.8154826164245605,79
62,-77.0120849609375,-0.3625439148891018,331.01484586950386,0.40791943263229763,0,7.8154826164245605,139
63,-72.63768005371094,-12.334842267591737,-76.64692529942839,3.4651747096714474e-05,0,7.820482969284058,79
0,-74.25383758544922,-0.3625439148891018,347.0228140940889,0.3939495769600398,0,7.826482772827148,139
1,-74.36157989501953,-12.41860973095754,-76.64692529942839,3.4651747096714474e-05,0,7.831482887268066,79
2,-73.56428527832031,-0.3625439148891018,341.6867373744025,0.40791943263229763,0,7.837483167648315,140
3,-74.36157989501953,-12.41860973095754,-76.63860887987538,6.943992256203123e-05,0,7.843482971191406,80
4,-73.78694915771484,-12.669883471971842,-76.64692529942839,3.4651747096714474e-05,0,7.849482774734497,62
5,-75.65451049804688,-0.3750983523786999,-851.4418441336601,-0.6459648432155517,0,7.849482774734497,140
6,-74.36157989501953,-12.586115190060807,-76.63860887987538,6.943992256203123e-05,0,7.855482816696167,79
7,-76.08547973632812,-12.502378012868574,-76.64692529942839,3.4651747096714474e-05,0,7.860482931137085,61
8,-73.33442687988281,-0.3625439148891018,349.69074768014247,0.39674355321039906,0,7.865484237670898,139
