"['packet_nr', 'EMG_CH1', 'EMG_CH2', 'EMG_CH3', 'EMG_CH4', 'EMG_CH5', 'stim_amp1', 'stim_freq1', 'stim_pw1', 'stim_amp2', 'stim_freq2', 'stim_pw2', 'total_runtime', 'time_offset']"
45,8.66018767427269,5.18873396544911,-343.9622070717183,-0.3602276223480385,0.0,7,20,260,7,20,260,7.277014493942261,249
46,8.467047301504204,5.097538738838286,-337.6692461008438,-0.3536370774516048,0.0,7,20,260,7,20,260,7.3769097328186035,250
47,8.32607781193724,5.012443413803763,-331.80471649306116,-0.3474952237429392,0.0,7,20,260,7,20,260,7.54253363609314,250
48,8.194678790716871,4.937038311053254,-326.3280789521239,-0.3417596048881757,0.0,7,20,260,7,20,260,7.610632419586182,250
49,8.052157661485666,4.8603077219086845,-321.19656712392094,-0.3363854321816267,0.0,7,20,260,7,20,260,7.760655403137207,263
50,7.967195579976536,4.781203685673892,-316.3655712961199,-0.3313259863899608,0.0,7,20,260,7,20,260,7.843999147415161,237
51,7.809102155352883,4.706476839539514,-311.7890367231758,-0.3265330349133552,0.0,7,20,260,7,20,260,7.960066080093384,250
52,7.677086236846168,4.628688783884502,-307.4198729617396,-0.3219572604777127,0.0,7,20,260,7,20,260,8.044068574905396,250
53,7.616654880295861,4.555057436776088,-303.21037052028043,-0.3175486974869689,0.0,7,20,260,7,20,260,8.160311460494995,250
54,7.52424450441621,4.489781851728704,-299.1126210788723,-0.3132571721143911,0.0,7,20,260,7,20,260,8.276965141296387,250
55,7.433115556339745,4.422697362534856,-295.07893752086704,-0.30903274219686877,0.0,7,20,260,7,20,260,8.426360368728638,249
56,7.301714237310927,4.353757273146697,-291.06227003755015,-0.3048261330164827,0.0,7,20,260,7,20,260,8.493650674819946,250
57,7.200452558465143,4.284550959056725,-287.0166146195183,-0.3005891651087786,0.0,7,20,260,7,20,260,8.576208353042603,250
58,7.115777878865333,4.213838440185717,-282.89741033380653,-0.29627517032648654,0.0,7,20,260,7,20,260,8.75896406173706,250
59,6.992998706997869,4.14905702347558,-278.6619219028085,-0.29183939250997826,0.0,7,20,260,7,20,260,8.957619190216064,250
60,6.848274673210571,4.07664833879989,-274.2696042485784,-0.28723936927027727,0.0,7,20,260,7,20,260,9.20756983757019,250
61,6.781567275749836,4.004472234111559,-269.68244584271747,-0.2824352915754058,0.0,7,20,260,7,20,260,9.34004807472229,250
62,6.664956467150652,3.9205392873455667,-264.8652879060186,-0.27739033804446267,0.0,7,20,260,7,20,260,9.444293022155762,250
63,6.5023743832308085,3.830847314035944,-259.78611673141006,-0.2720709810940455,0.0,7,20,260,7,20,260,9.610315084457397,250
0,6.384257415378886,3.7380476958960864,-254.4163266563398,-0.2664472623461729,0.0,7,20,260,7,20,260,9.710358619689941,249
1,6.248471282137602,3.6472794561834667,-248.73095148420472,-0.26049303499325827,0.0,7,20,260,7,20,260,9.826985120773315,250
2,6.10976386120809,3.555238977212322,-242.70886244621212,-0.2541861711212664,0.0,7,20,260,7,20,260,9.960448503494263,250
3,5.957154724014765,3.4663649665893685,-236.33293110247024,-0.24750873231413267,0.0,7,20,260,7,20,260,10.060329675674438,250
4,5.765078485999555,3.364419867347357,-229.5901559013199,-0.24044710219788035,0.0,7,20,260,7,20,260,10.159492492675781,249
5,5.558433053671367,3.2582073129952627,-222.47175144601758,-0.23299207992858062,0.0,7,20,260,7,20,260,10.326969623565674,250
6,5.383416791041969,3.1477751033728936,-214.97319985486556,-0.2251389339812202,0.0,7,20,260,7,20,260,10.444043159484863,250
7,5.224976015874908,3.034111874291487,-207.09426394171243,-0.21688741595348623,0.0,7,20,260,7,20,260,10.492350816726685,250
8,4.980911119143283,2.909095790527084,-198.83896228535912,-0.20824173445624455,0.0,7,20,260,7,20,260,10.643803596496582,249
