packet_nr,EMG_CH1,EMG_CH2,EMG_CH3,EMG_CH4,EMG_CH5,stim_amp1,stim_freq1,stim_pw1,stim_amp2,stim_freq2,stim_pw2,total_runtime,time_offset
0,25.406857570071985,-0.008530925200736358,0.6569353194152745,-0.6569353781498674,0.0,5,20,260,5,20,260,5.705159902572632,0
1,24.634128166907097,-0.008283507321707444,0.6376413039410379,-0.6376413609506109,0.0,5,20,260,5,20,260,5.814340591430664,500
2,23.98459556410813,-0.008035907906325685,0.6187083076362805,-0.6187083629531095,0.0,5,20,260,5,20,260,5.984447240829468,500
3,23.281464751907944,-0.007781896741550139,0.6001823011393723,-0.6001823547998408,0.0,5,20,260,5,20,260,6.107256174087524,500
4,22.52841851810453,-0.007553706390910627,0.5821066724356856,-0.5821067244800533,0.0,5,20,260,5,20,260,6.21547794342041,500
5,21.809765997170427,-0.007318467083901106,0.5645218453685336,-0.5645218958406703,0.0,5,20,260,5,20,260,6.353497505187988,500
6,21.166894986258303,-0.007086840410038106,0.5474649262390441,-0.5474649751861319,0.0,5,20,260,5,20,260,6.510797023773193,500
7,20.53371747941518,-0.006874237966039315,0.5309693815167037,-0.5309694289889108,0.0,5,20,260,5,20,260,6.71466851234436,500
8,19.91864775818213,-0.006664255225411355,0.5150647493914625,-0.5150647954415913,0.0,5,20,260,5,20,260,6.793499231338501,499
9,19.303187415048413,-0.006456975802851051,0.4997763875843776,-0.49977643226749047,0.0,5,20,260,5,20,260,6.93242883682251,501
10,18.788086960165995,-0.006260579093679673,0.48512525949969354,-0.48512530287271993,0.0,5,20,260,5,20,260,7.086249113082886,500
11,18.209077621701745,-0.006095173905189452,0.47112776045010474,-0.4711278025714325,0.0,5,20,260,5,20,260,7.163193941116333,501
12,17.706514481918685,-0.005921640881289583,0.457795585321899,-0.45779562625095427,0.0,5,20,260,5,20,260,7.365966320037842,500
13,17.200730384042657,-0.005757470589891031,0.44513563867110695,-0.4451356784679263,0.0,5,20,260,5,20,260,7.534939289093018,501
14,16.73303929609774,-0.005605646007892401,0.43314998785904635,-0.4331500265838443,0.0,5,20,260,5,20,260,7.641087532043457,499
15,16.301833689815822,-0.005444564874435477,0.42183585944923235,-0.421835897161969,0.0,5,20,260,5,20,260,7.875975847244263,500
16,15.87651269827234,-0.005318588609812195,0.41118567870096845,-0.41118571546092025,0.0,5,20,260,5,20,260,8.000844240188599,499
17,15.531024062204555,-0.00520563969831691,0.4011871516115184,-0.401187187476856,0.0,5,20,260,5,20,260,8.080140590667725,500
18,15.13388168740956,-0.005076929588299422,0.3918233885819753,-0.39182342360935246,0.0,5,20,260,5,20,260,8.202862024307251,499
19,14.783406030909845,-0.004975405052860444,0.3830730684151426,-0.3830731026593,0.0,5,20,260,5,20,260,8.329466104507446,501
20,14.487176999682843,-0.004881378546045449,0.37491064100014204,-0.3749106745135289,0.0,5,20,260,5,20,260,8.560528755187988,500
21,14.185437011284476,-0.004777784498321988,0.36730656670116923,-0.36730659953358685,0.0,5,20,260,5,20,260,8.69955849647522,501
22,13.884612967249899,-0.004697027044326289,0.3602275901497691,-0.3602276223480385,0.0,5,20,260,5,20,260,8.869913101196289,500
23,13.685390227614716,-0.0046105968912630605,0.35363704584394695,-0.3536370774516048,0.0,5,20,260,5,20,260,8.962091445922852,501
24,13.453429639710746,-0.004532896725713756,0.3474951926859154,-0.3474952237429392,0.0,5,20,260,5,20,260,9.04069447517395,499
25,13.272765373484166,-0.004461178117972118,0.34175957434561055,-0.3417596048881757,0.0,5,20,260,5,20,260,9.165666341781616,500
26,13.04369826721085,-0.004397112772571549,0.336385402121356,-0.3363854321816267,0.0,5,20,260,5,20,260,9.334538459777832,499
27,12.799706351207014,-0.004328967699316609,0.33132595678400395,-0.3313259863899608,0.0,5,20,260,5,20,260,9.488260984420776,500
28,12.582420275105356,-0.004256515421409394,0.32653300573805116,-0.3265330349133552,0.0,5,20,260,5,20,260,9.673391580581665,499
29,12.42869434571182,-0.0042018239234157505,0.32195723171381757,-0.3219572604777127,0.0,5,20,260,5,20,260,9.875179767608643,501
30,12.266917095520864,-0.0041398492069461695,0.31754866911971436,-0.3175486974869689,0.0,5,20,260,5,20,260,10.047283411026001,500
31,12.148631890962575,-0.004078129162742925,0.3132571441335038,-0.3132571721143911,0.0,5,20,260,5,20,260,10.201358556747437,501
32,11.986538037703886,-0.004035401386708028,0.30903271459655035,-0.30903274219686877,0.0,5,20,260,5,20,260,10.342395544052124,500
33,11.800843859627143,-0.003958811473297922,0.3048261057953514,-0.3048261330164827,0.0,5,20,260,5,20,260,10.621364831924438,501
34,11.618089193254397,-0.0038943118968092975,0.3005891382697719,-0.3005891651087786,0.0,5,20,260,5,20,260,10.727394342422485,499
35,11.436364584382058,-0.0038461097224223527,0.2962751438767267,-0.29627517032648654,0.0,5,20,260,5,20,260,10.866581916809082,500
36,11.282671914628391,-0.0037729447598011966,0.2918393664606021,-0.29183939250997826,0.0,5,20,260,5,20,260,11.053752660751343,499
