packet_nr,EMG_CH1,EMG_CH2,EMG_CH3,EMG_CH4,EMG_CH5,stim_amp1,stim_freq1,stim_pw1,stim_amp2,stim_freq2,stim_pw2,total_runtime,time_offset
32,30.427005648177243,-0.014587401469921903,0.6569353194152745,-0.6569353781498674,0.0,7,20,260,7,20,260,6.084270715713501,0
33,29.556449177635454,-0.014163202262170613,0.6376413039410379,-0.6376413609506109,0.0,7,20,260,7,20,260,6.3416547775268555,250
34,28.68462963156345,-0.013740474024700192,0.6187083076362805,-0.6187083629531095,0.0,7,20,260,7,20,260,6.7053210735321045,250
35,27.83380795806561,-0.01332778955972827,0.6001823011393723,-0.6001823547998408,0.0,7,20,260,7,20,260,6.857682704925537,250
36,27.031321110269108,-0.012920836229535469,0.5821066724356856,-0.5821067244800533,0.0,7,20,260,7,20,260,7.022488355636597,250
37,26.184772123851292,-0.012531758639857293,0.5645218453685336,-0.5645218958406703,0.0,7,20,260,7,20,260,7.189894437789917,250
38,25.361291033043717,-0.012156635778531209,0.5474649262390441,-0.5474649751861319,0.0,7,20,260,7,20,260,7.307363510131836,250
39,24.594796425000933,-0.011793795003376335,0.5309693815167037,-0.5309694289889108,0.0,7,20,260,7,20,260,7.52278470993042,250
40,23.832676831464823,-0.011441389864186706,0.5150647493914625,-0.5150647954415913,0.0,7,20,260,7,20,260,7.70825982093811,249
41,23.106795045657044,-0.011100295245215436,0.4997763875843776,-0.49977643226749047,0.0,7,20,260,7,20,260,7.841014862060547,250
42,22.405194704575802,-0.010775590054156115,0.48512525949969354,-0.48512530287271993,0.0,7,20,260,7,20,260,8.091234683990479,250
43,21.798031418317155,-0.010470627601066866,0.47112776045010474,-0.4711278025714325,0.0,7,20,260,7,20,260,8.292547702789307,250
44,21.238964869772566,-0.0101834766499362,0.457795585321899,-0.45779562625095427,0.0,7,20,260,7,20,260,8.37503457069397,250
45,20.59740742528558,-0.009901122082399884,0.44513563867110695,-0.4451356784679263,0.0,7,20,260,7,20,260,8.536963939666748,250
46,20.086772235671194,-0.00962813413317434,0.43314998785904635,-0.4331500265838443,0.0,7,20,260,7,20,260,8.708333015441895,250
47,19.549396956705955,-0.009372526609631612,0.42183585944923235,-0.421835897161969,0.0,7,20,260,7,20,260,8.823033332824707,250
48,19.073164608364014,-0.009140328455660074,0.41118567870096845,-0.41118571546092025,0.0,7,20,260,7,20,260,9.023369073867798,250
49,18.68198988896563,-0.008922947421962816,0.4011871516115184,-0.401187187476856,0.0,7,20,260,7,20,260,9.192174673080444,250
50,18.20387060934091,-0.008717334966062,0.3918233885819753,-0.39182342360935246,0.0,7,20,260,7,20,260,9.52395248413086,250
51,17.74851613764658,-0.008521674622330392,0.3830730684151426,-0.3830731026593,0.0,7,20,260,7,20,260,9.856709003448486,250
