packet_nr,EMG_CH1,EMG_CH2,EMG_CH3,EMG_CH4,EMG_CH5,stim_amp1,stim_freq1,stim_pw1,stim_amp2,stim_freq2,stim_pw2,total_runtime,time_offset
14,25.54877350277919,-0.007238999556793766,0.6569353194152745,-0.6569353781498674,0.0,5,20,260,5,20,260,5.408997058868408,0
15,24.815723084524034,-0.0070216148334534215,0.6376413039410379,-0.6376413609506109,0.0,5,20,260,5,20,260,5.647231817245483,250
16,24.08119862758544,-0.006820095530960934,0.6187083076362805,-0.6187083629531095,0.0,5,20,260,5,20,260,5.870026111602783,250
17,23.39590880903313,-0.00661713714027776,0.6001823011393723,-0.6001823547998408,0.0,5,20,260,5,20,260,6.035872459411621,250
18,22.647481997865878,-0.006413937041176091,0.5821066724356856,-0.5821067244800533,0.0,5,20,260,5,20,260,6.170104742050171,250
19,21.95407467265282,-0.006222996731855661,0.5645218453685336,-0.5645218958406703,0.0,5,20,260,5,20,260,6.30319881439209,249
20,21.33687286391033,-0.006029019471670286,0.5474649262390441,-0.5474649751861319,0.0,5,20,260,5,20,260,6.417204856872559,250
21,20.68361071581918,-0.00584226609592204,0.5309693815167037,-0.5309694289889108,0.0,5,20,260,5,20,260,6.586761713027954,250
22,20.03406257091714,-0.005660840312234727,0.5150647493914625,-0.5150647954415913,0.0,5,20,260,5,20,260,6.753063440322876,250
23,19.39207677914423,-0.005490305166878898,0.4997763875843776,-0.49977643226749047,0.0,5,20,260,5,20,260,6.888081312179565,249
24,18.820127371735737,-0.005335470827941413,0.48512525949969354,-0.48512530287271993,0.0,5,20,260,5,20,260,7.038013219833374,250
25,18.350989161934613,-0.005186238682332908,0.47112776045010474,-0.4711278025714325,0.0,5,20,260,5,20,260,7.12326455116272,250
26,17.812087693864044,-0.00503628096014145,0.457795585321899,-0.45779562625095427,0.0,5,20,260,5,20,260,7.237934350967407,250
27,17.253770500361288,-0.004893270033574412,0.44513563867110695,-0.4451356784679263,0.0,5,20,260,5,20,260,7.407111883163452,250
28,16.820543353480836,-0.004756381040928264,0.43314998785904635,-0.4331500265838443,0.0,5,20,260,5,20,260,7.568341016769409,249
29,16.51632440856283,-0.0046348634246237,0.42183585944923235,-0.421835897161969,0.0,5,20,260,5,20,260,7.718695640563965,250
