timestamp,packet_nr,device_time_offset_us,raw_ch1_mv,raw_ch2_mv,rms_ch1_mv,rms_ch2_mv,norm_ch1,norm_ch2
1765483540.2426383,56,250,-0.0007536101899556039,-0.0006073520353311324,8.28447798353172e-07,1.3949244769783887e-06,0.276149266117724,0.23248741282973145
1765483540.63596,56,250,-0.0007544471524549105,-0.0006071765407493027,7.370208115808582e-07,1.5095407331480992e-06,0.24567360386028608,0.25159012219134985
1765483541.0314171,56,250,-0.0007552351538227716,-0.0006095831395214191,7.230661020769577e-07,1.8061737727356745e-06,0.24102203402565256,0.30102896212261243
1765483541.434321,56,250,-0.0007529862765901877,-0.0006096079990432676,6.272064334135758e-07,1.8925562726717364e-06,0.2090688111378586,0.3154260454452894
1765483541.8411489,56,251,-0.0007534957452056309,-0.0006091610581885712,7.061719828488223e-07,1.605097364009378e-06,0.23539066094960742,0.26751622733489633
1765483542.2329793,56,250,-0.0007521549984327672,-0.000611055384069914,5.870406689749526e-07,1.7485925532948368e-06,0.19568022299165086,0.2914320922158061
1765483542.6339295,56,250,-0.000752549340177211,-0.0006116216961042179,6.227315498988774e-07,1.820876172649948e-06,0.2075771832996258,0.30347936210832466
1765483543.0333116,56,250,-0.0007531916708103381,-0.0006113502498313513,6.339078280255685e-07,1.6967697315906467e-06,0.21130260934185618,0.2827949552651078
1765483543.4408476,56,250,-0.000752591934845744,-0.0006067061425104233,7.19135172386002e-07,1.4129749009235923e-06,0.23971172412866734,0.23549581682059872
1765483543.8478203,56,250,-0.0007516512141592102,-0.0006063870993481638,7.695251412599907e-07,1.5468777556450828e-06,0.2565083804199969,0.25781295927418046
1765483544.2496204,56,249,-0.000751324326605148,-0.0006061632878603026,5.912202673170272e-07,1.3533567410461207e-06,0.19707342243900905,0.2255594568410201
1765483544.6509185,56,250,-0.0007523134020933261,-0.0006067061425104233,6.087134888096044e-07,1.6356693529223395e-06,0.20290449626986812,0.2726115588203899
1765483545.0396829,56,250,-0.0007520150120399194,-0.0006050235773121434,7.736852299660968e-07,1.4660695086436182e-06,0.2578950766553656,0.2443449181072697
1765483545.4477317,56,250,-0.0007532953532063402,-0.0006059586515524037,6.790692032361518e-07,1.6522816839123756e-06,0.22635640107871727,0.2753802806520626
1765483545.8500218,56,250,-0.000752833557271515,-0.0006020328934634259,5.556030436009372e-07,1.5183795802524215e-06,0.18520101453364574,0.2530632633754036
