packet_nr,EMG_CH1,EMG_CH2,EMG_CH3,EMG_CH4,EMG_CH5,stim_amp1,stim_freq1,stim_pw1,stim_amp2,stim_freq2,stim_pw2,total_runtime,time_offset
36,0.18690308125870714,0.0005517537908043361,0.0006116857020899147,0.0001247839331863787,0.0,0,20,260,0,20,260,5.561573505401611,0
37,0.1868720775948734,0.0005517032756567156,0.0006121088820994677,0.00012725978604244403,0.0,0,20,260,0,20,260,5.7107319831848145,4004
38,0.186828623959122,0.0005508064004899893,0.0006135110197647009,0.0001265650269773507,0.0,0,20,260,0,20,260,5.7930872440338135,4004
39,0.1868100298452191,0.0005507622136136092,0.0006133468177793588,0.00012425971362972632,0.0,0,20,260,0,20,260,5.959684610366821,4004
40,0.1868782823698388,0.0005516906561216691,0.0006117614933150625,0.00012493551563667418,0.0,0,20,260,0,20,260,6.128135919570923,4004
41,0.1869341051335343,0.0005519874927510197,0.0006117552020512562,0.0001275061075241742,0.0,0,20,260,0,20,260,6.262158393859863,4004
42,0.18689069191976967,0.0005510274829016263,0.000613188907057823,0.00012737347288016565,0.0,0,20,260,0,20,260,6.425966262817383,4003
43,0.18684103350905287,0.0005507306092648415,0.0006134289002683128,0.0001247839331863787,0.0,0,20,260,0,20,260,6.462321758270264,4004
44,0.18685655555196315,0.0005517158951917622,0.0006119446801141256,0.00012473340878689973,0.0,0,20,260,0,20,260,6.543156147003174,4004
45,0.1868782823698388,0.0005521832990851294,0.000611527828375813,0.0001274050494733577,0.0,0,20,260,0,20,260,6.578919172286987,4004
46,0.18688446693381086,0.000551488521516319,0.0006129489138473332,0.00012778400559909642,0.0,0,20,260,0,20,260,6.71085262298584,4004
47,0.18684723828401828,0.0005510085350953394,0.0006134289002683128,0.00012533341956869984,0.0,0,20,260,0,20,260,6.844803810119629,4004
48,0.18684103350905287,0.000551892753719585,0.0006121025538282273,0.00012472077999999462,0.0,0,20,260,0,20,260,6.92871618270874,4004
49,0.18683794122706684,0.0005525243595982943,0.0006113635893830368,0.00012722189042987017,0.0,0,20,260,0,20,260,6.967549085617065,4004
50,0.18686276032692856,0.000551911701525872,0.000612582577256641,0.000128251381736888,0.0,0,20,260,0,20,260,7.111541986465454,4004
51,0.18687516987685943,0.0005513432673372639,0.0006136247066024225,0.0001260281786337932,0.0,0,20,260,0,20,260,7.211414337158203,4003
52,0.18689689669473508,0.0005520190600923532,0.0006125067860314933,0.00012485341464400315,0.0,0,20,260,0,20,260,7.344900131225586,4004
53,0.186868965101894,0.0005528843679177461,0.0006113699176542772,0.00012707030797957467,0.0,0,20,260,0,20,260,7.444006681442261,4004
54,0.18684103350905287,0.0005524485683731465,0.0006125383533728268,0.00012859876126943467,0.0,0,20,260,0,20,260,7.627081632614136,4004
55,0.18684103350905287,0.0005516590517729014,0.0006137510129751907,0.00012669766162135923,0.0,0,20,260,0,20,260,7.777483701705933,4004
56,0.18684723828401828,0.0005521643512788424,0.0006127783835907508,0.0001249860492880117,0.0,0,20,260,0,20,260,7.911156177520752,4004
57,0.1868782823698388,0.0005532001523533836,0.0006115530674459061,0.00012677977186588882,0.0,0,20,260,0,20,260,7.944958448410034,4004
58,0.18690308125870714,0.0005530170025617546,0.0006123299275036705,0.00012888297836373871,0.0,0,20,260,0,20,260,8.010977506637573,4004
59,0.1868720775948734,0.0005520632839761674,0.0006137257739050975,0.00012738610166707076,0.0,0,20,260,0,20,260,8.095433950424194,4004
60,0.1868503507769977,0.0005521390752013152,0.0006130941680263883,0.00012526394736293392,0.0,0,20,260,0,20,260,8.17722773551941,4004
61,0.18686585260891458,0.0005532380479659574,0.0006115783435234334,0.0001265271313647768,0.0,0,20,260,0,20,260,8.26204252243042,4004
62,0.1868999889767211,0.000553269615307291,0.0006120015235329864,0.00012901561300774725,0.0,0,20,260,0,20,260,8.344152688980103,4004
63,0.18689689669473508,0.0005522148664264629,0.0006134415568107935,0.00012809979928659251,0.0,0,20,260,0,20,260,8.459719896316528,4004
0,0.18685346326997712,0.0005521011795887413,0.0006131446831740087,0.00012559868885671696,0.0,0,20,260,0,20,260,8.545162916183472,4004
1,0.18683484894508082,0.000553187532818337,0.0006117425455087755,0.00012631239572809724,0.0,0,20,260,0,20,260,8.642181873321533,4004
2,0.18686585260891458,0.0005533959586874934,0.0006118436128114505,0.00012888297836373871,0.0,0,20,260,0,20,260,8.744129419326782,4004
3,0.18688446693381086,0.0005524611879081931,0.0006132457504766838,0.00012865560468829548,0.0,0,20,260,0,20,260,8.777950525283813,4004
4,0.18685346326997712,0.0005521580230076021,0.0006134605046170805,0.00012618607085161196,0.0,0,20,260,0,20,260,8.812093734741211,4004
5,0.1868720775948734,0.0005531622567408098,0.0006119067845015517,0.00012627450011552335,0.0,0,20,260,0,20,260,8.929648160934448,4004
6,0.18688446693381086,0.0005536927953168439,0.0006114772762207584,0.0001289335027632177,0.0,0,20,260,0,20,260,9.028048038482666,4003
7,0.1868720775948734,0.0005528085766925983,0.0006130436528787678,0.0001292998301020513,0.0,0,20,260,0,20,260,9.14426040649414,4004
8,0.1868317566630948,0.0005523285532641845,0.0006135046914934605,0.0001268302962653678,0.0,0,20,260,0,20,260,9.208182573318481,4004
9,0.18684723828401828,0.0005532191001596706,0.0006120962625644211,0.0001262934479218103,0.0,0,20,260,0,20,260,9.374876260757446,4003
10,0.1868782823698388,0.0005538380494958991,0.0006114204328018976,0.0001287756105453989,0.0,0,20,260,0,20,260,9.444403648376465,4004
11,0.18683484894508082,0.0005531433089345228,0.0006127720553195104,0.00012968510524717183,0.0,0,20,260,0,20,260,9.511635303497314,4004
12,0.18685346326997712,0.0005524296205668596,0.0006136626022149964,0.00012743031629902646,0.0,0,20,260,0,20,260,9.629070520401001,4004
13,0.18690308125870714,0.0005531748762758563,0.0006123425840461513,0.0001263502913406711,0.0,0,20,260,0,20,260,9.66322946548462,4004
14,0.18694030990849972,0.0005539580646048611,0.000611388865460564,0.00012869350030086935,0.0,0,20,260,0,20,260,9.725827693939209,4003
15,0.18689689669473508,0.000553351734803679,0.000612462562147679,0.0001301903769975373,0.0,0,20,260,0,20,260,9.789851427078247,4004
16,0.186868965101894,0.0005526506659710625,0.0006134605046170805,0.0001281882285505039,0.0,0,20,260,0,20,260,9.911319017410278,4004
17,0.18689376399076232,0.0005533327869973922,0.0006125131143027337,0.00012648292598467967,0.0,0,20,260,0,20,260,9.994686603546143,4004
18,0.18694030990849972,0.0005542865055829793,0.0006113130742354164,0.00012837138759399144,0.0,0,20,260,0,20,260,10.077232599258423,4004
19,0.18690930624466598,0.0005539075494572406,0.0006121720537895688,0.0001302472204163981,0.0,0,20,260,0,20,260,10.195574760437012,4004
20,0.18687516987685943,0.0005531306893994762,0.0006134984002296543,0.0001285734944437659,0.0,0,20,260,0,20,260,10.262233972549438,4004
21,0.18687516987685943,0.0005534401455638734,0.0006129110182347594,0.00012638186793386316,0.0,0,20,260,0,20,260,10.343403100967407,4004
22,0.18685966804494253,0.0005545201705222288,0.0006116225674072476,0.00012760715632313216,0.0,0,20,260,0,20,260,10.395784616470337,4004
23,0.18686276032692856,0.0005547538724689124,0.0006121341581769949,0.00012996300332209407,0.0,0,20,260,0,20,260,10.462196350097656,4004
24,0.18684103350905287,0.0005541222665902031,0.0006135552436485151,0.00012917982424494787,0.0,0,20,260,0,20,260,10.559856653213501,4004
25,0.186868965101894,0.0005543496402656464,0.0006132204743991565,0.00012711451335967183,0.0,0,20,260,0,20,260,10.674915075302124,4004
26,0.18690308125870714,0.0005555560086042041,0.0006116857020899147,0.00012816296172483513,0.0,0,20,260,0,20,260,10.82601022720337,4004
27,0.18690308125870714,0.0005555433520617233,0.0006118183367339233,0.0001308851268107721,0.0,0,20,260,0,20,260,10.929039716720581,4003
28,0.18690930624466598,0.0005543685880719332,0.0006133025938955446,0.00013036722627350153,0.0,0,20,260,0,20,260,11.028745889663696,4004
29,0.18690617354069317,0.000553856997302186,0.0006132773178180173,0.00012772084316085378,0.0,0,20,260,0,20,260,11.07783317565918,4004
30,0.18688757942679027,0.0005546338573599504,0.0006116288586710539,0.00012791032122372314,0.0,0,20,260,0,20,260,11.211341381072998,4004
31,0.1868999889767211,0.0005548738875778744,0.0006115593957171465,0.00013054406629760726,0.0,0,20,260,0,20,260,11.324870109558105,4004
32,0.18689069191976967,0.0005539517363336207,0.0006131131158326752,0.00013076513020552719,0.0,0,20,260,0,20,260,11.461312532424927,4004
33,0.18686276032692856,0.0005534464738351138,0.0006133910046557389,0.00012815033293793002,0.0,0,20,260,0,20,260,11.528488636016846,4004
34,0.18684723828401828,0.0005542738490404986,0.0006120394191455603,0.00012755663192365319,0.0,0,20,260,0,20,260,11.62843632698059,4004
35,0.18689376399076232,0.0005547980963527266,0.0006114330893443783,0.0001300387945472418,0.0,0,20,260,0,20,260,11.71022915840149,4004
36,0.18685966804494253,0.0005539833406823883,0.0006128099509320842,0.00013085355021758005,0.0,0,20,260,0,20,260,11.778183221817017,4004
37,0.18684103350905287,0.0005532885631135779,0.0006135804827186083,0.00012859876126943467,0.0,0,20,260,0,20,260,11.875133752822876,4004
38,0.18684103350905287,0.0005539643928761014,0.0006122541362785228,0.00012759452753622705,0.0,0,20,260,0,20,260,11.994863748550415,4004
39,0.18686585260891458,0.0005547664920039589,0.0006112941264291294,0.00012984931648437245,0.0,0,20,260,0,20,260,12.094924688339233,4004
40,0.18688757942679027,0.00055414121439649,0.0006124499426126325,0.00013124513513022387,0.0,0,20,260,0,20,260,12.244302749633789,4004
41,0.18685655555196315,0.0005532948913848182,0.0006135741914548021,0.00012919877205123478,0.0,0,20,260,0,20,260,12.294871807098389,4004
42,0.18685966804494253,0.0005538886016509537,0.0006125699577215945,0.00012765137095508786,0.0,0,20,260,0,20,260,12.428411483764648,4004
43,0.18689376399076232,0.0005547980963527266,0.0006114836044919988,0.00012964720963459797,0.0,0,20,260,0,20,260,12.560099601745605,4004
44,0.18691549080863804,0.0005545328270647095,0.0006123678231162444,0.00013144093221247508,0.0,0,20,260,0,20,260,12.61137843132019,4004
45,0.18686276032692856,0.0005537054148518905,0.0006135994305248952,0.00012975457745293775,0.0,0,20,260,0,20,260,12.694796323776245,4005
46,0.18686276032692856,0.0005539770124111479,0.0006129362573048525,0.00012784084901795723,0.0,0,20,260,0,20,260,12.777174234390259,4005
47,0.18689376399076232,0.0005550065222218828,0.0006116288586710539,0.000129394569133486,0.0,0,20,260,0,20,260,12.84316349029541,4005
48,0.18689376399076232,0.0005550254700281698,0.0006121278299057545,0.0001316556771010132,0.0,0,20,260,0,20,260,12.927126407623291,4005
49,0.18685655555196315,0.0005540338558300087,0.0006134920719584139,0.00013055038531698907,0.0,0,20,260,0,20,260,13.045145750045776,4005
50,0.186868965101894,0.0005541538709389707,0.0006131257353677219,0.000128251381736888,0.0,0,20,260,0,20,260,13.094350099563599,4004
51,0.18688446693381086,0.0005551265003234107,0.0006117425455087755,0.00012918614326432967,0.0,0,20,260,0,20,260,13.19525694847107,4004
52,0.18689689669473508,0.0005551960002847522,0.0006119194040365983,0.00013169988248111034,0.0,0,20,260,0,20,260,13.262427568435669,4004
53,0.18691858309062406,0.0005543054533892663,0.0006132962656243043,0.00013111250048621534,0.0,0,20,260,0,20,260,13.295864820480347,4004
54,0.18692478786558947,0.0005542043860865912,0.0006132773178180173,0.00012858613248252956,0.0,0,20,260,0,20,260,13.34619951248169,4004
55,0.18692790035856888,0.0005551138807883641,0.000611812045470117,0.00012894614080198133,0.0,0,20,260,0,20,260,13.509857892990112,4005
56,0.18697444627630627,0.0005554359934952421,0.0006115657239883868,0.00013144725123185688,0.0,0,20,260,0,20,260,13.593957662582397,4005
57,0.1869341051335343,0.0005545264987934692,0.0006130878397551479,0.00013142830342556996,0.0,0,20,260,0,20,260,13.660078287124634,4005
58,0.1868720775948734,0.0005541664904740173,0.0006133657655856458,0.00012899666520146033,0.0,0,20,260,0,20,260,13.744353771209717,4005
59,0.18687516987685943,0.0005552149480910392,0.0006119572996491721,0.00012876297250663526,0.0,0,20,260,0,20,260,13.877925157546997,4005
60,0.18690930624466598,0.0005556696954419257,0.0006115846717946738,0.00013142198440618813,0.0,0,20,260,0,20,260,13.960755825042725,4005
61,0.18692478786558947,0.0005548359919653004,0.000613024705072481,0.00013210410543251783,0.0,0,20,260,0,20,260,14.059958457946777,4005
62,0.18689069191976967,0.000554261229505452,0.0006136878782925237,0.00012967878622779003,0.0,0,20,260,0,20,260,14.112338304519653,4005
63,0.18686276032692856,0.0005550570373695033,0.0006122730840848097,0.00012876297250663526,0.0,0,20,260,0,20,260,14.1782066822052,4005
0,0.18687516987685943,0.0005558717930398416,0.0006114709849569522,0.00013108092389302328,0.0,0,20,260,0,20,260,14.295097827911377,4005
1,0.1868720775948734,0.0005552149480910392,0.0006127467792419831,0.00013238200350744003,0.0,0,20,260,0,20,260,14.361547470092773,4004
2,0.186868965101894,0.0005545328270647095,0.0006137068260988107,0.00013018405797815547,0.0,0,20,260,0,20,260,14.444604396820068,4005
3,0.18689376399076232,0.0005551454481296977,0.0006125383533728268,0.00012869981932025118,0.0,0,20,260,0,20,260,14.544600248336792,4005
4,0.18691858309062406,0.000555941255993749,0.0006114836044919988,0.0001308156546050062,0.0,0,20,260,0,20,260,14.693804025650024,4004
5,0.18691858309062406,0.0005555370607979171,0.0006124183752712989,0.00013257780058969124,0.0,0,20,260,0,20,260,14.744771003723145,4004
6,0.18686585260891458,0.00055458334221233,0.0006138141846652919,0.0001307209155735715,0.0,0,20,260,0,20,260,14.82905626296997,4004
7,0.18684723828401828,0.000554968626609309,0.0006129994289949536,0.00012885140177054666,0.0,0,20,260,0,20,260,14.879123449325562,4004
8,0.18689376399076232,0.0005560359950251836,0.0006117362542449692,0.00013043037945988564,0.0,0,20,260,0,20,260,14.978223085403442,4004
9,0.1868999889767211,0.0005560170472188967,0.0006123236362398643,0.0001326725396211259,0.0,0,20,260,0,20,260,15.044908046722412,4005
10,0.186868965101894,0.0005549938656794021,0.0006137447217113845,0.0001315040946507177,0.0,0,20,260,0,20,260,15.110042095184326,4005
11,0.18688757942679027,0.0005550886047108369,0.0006133594373144055,0.00012912298082608706,0.0,0,20,260,0,20,260,15.176876306533813,4005
12,0.18690308125870714,0.0005562507491655803,0.0006118436128114505,0.0001302030057844424,0.0,0,20,260,0,20,260,15.25423288345337,4005
13,0.18691858309062406,0.0005562696969718672,0.0006122415167434762,0.00013267885864050774,0.0,0,20,260,0,20,260,15.343771696090698,4005
14,0.18690308125870714,0.0005552844110449465,0.0006138520802778658,0.0001319209463890303,0.0,0,20,260,0,20,260,15.411703109741211,4005
15,0.18689376399076232,0.0005552844110449465,0.0006136120870673759,0.00012942614572667802,0.0,0,20,260,0,20,260,15.510894298553467,4005
16,0.18690930624466598,0.0005562823165069138,0.0006120520386806069,0.00013005774235352874,0.0,0,20,260,0,20,260,15.578093528747559,4005
17,0.18689689669473508,0.0005565412945311247,0.0006119383518428853,0.0001326283249891702,0.0,0,20,260,0,20,260,15.67604684829712,4005
18,0.1868999889767211,0.0005556317998293517,0.0006134415568107935,0.00013256517180278612,0.0,0,20,260,0,20,260,15.844080924987793,4004
19,0.18688137465182483,0.0005553538739988539,0.0006136626022149964,0.00013000721795404976,0.0,0,20,260,0,20,260,15.959703922271729,4004
20,0.18689069191976967,0.0005562002340179598,0.0006122036211309023,0.00012990615990323326,0.0,0,20,260,0,20,260,16.012162446975708,4004
21,0.18692169558360344,0.0005567307725939941,0.0006118941279590709,0.0001323946415462037,0.0,0,20,260,0,20,260,16.062868118286133,4004
22,0.1868782823698388,0.0005558402256985081,0.0006132520787479242,0.0001328367508583265,0.0,0,20,260,0,20,260,16.128332138061523,4004
23,0.1868317566630948,0.0005553033588512335,0.0006138078563940516,0.00013043037945988564,0.0,0,20,260,0,20,260,16.195617198944092,4004
24,0.18683794122706684,0.0005560359950251836,0.0006125320621090206,0.00012961562378954739,0.0,0,20,260,0,20,260,16.3447003364563,4004
25,0.18685655555196315,0.0005567307725939941,0.0006117488737800159,0.00013202199518798827,0.0,0,20,260,0,20,260,16.478253841400146,4004
26,0.1868503507769977,0.0005560928384440444,0.0006129994289949536,0.00013325992161602093,0.0,0,20,260,0,20,260,16.512165784835815,4004
27,0.18682243939514995,0.0005554486130302886,0.0006138646998129124,0.0001309356604621096,0.0,0,20,260,0,20,260,16.62860894203186,4004
28,0.18684414600203225,0.0005559854798775632,0.0006127088836294092,0.00012961562378954739,0.0,0,20,260,0,20,260,16.728256702423096,4004
29,0.18688446693381086,0.0005569013028505765,0.0006116541347485812,0.00013172514930677912,0.0,0,20,260,0,20,260,16.810580015182495,4004
30,0.18690930624466598,0.0005564023316158758,0.0006126646967530291,0.00013337360845374255,0.0,0,20,260,0,20,260,16.911400318145752,4004
31,0.18689376399076232,0.0005555560086042041,0.0006139152519679669,0.00013142830342556996,0.0,0,20,260,0,20,260,17.009071826934814,4004
32,0.18685346326997712,0.0005559980994126098,0.0006128794138859917,0.00012962826182831103,0.0,0,20,260,0,20,260,17.06440544128418,4005
33,0.1868720775948734,0.0005568696985018088,0.0006116225674072476,0.0001313525122004222,0.0,0,20,260,0,20,260,17.195880889892578,4005
34,0.18689069191976967,0.0005567244443227537,0.0006123173079686239,0.00013341782308569824,0.0,0,20,260,0,20,260,17.245513677597046,4004
35,0.18688446693381086,0.0005558465169623142,0.0006138141846652919,0.00013205989080056213,0.0,0,20,260,0,20,260,17.36157488822937,4004
36,0.18690308125870714,0.0005560802189089978,0.0006133215417018315,0.0001298303686780855,0.0,0,20,260,0,20,260,17.51111602783203,4004
37,0.18687516987685943,0.0005571223482547794,0.0006119130757653579,0.00013100513266787553,0.0,0,20,260,0,20,260,17.624956130981445,4005
38,0.18689069191976967,0.0005571286765260197,0.0006122288972084297,0.00013343045187260336,0.0,0,20,260,0,20,260,17.776108980178833,4004
39,0.18685655555196315,0.0005560991667152848,0.0006137383934401441,0.00013259042937659635,0.0,0,20,260,0,20,260,17.878880977630615,4004
40,0.18684103350905287,0.0005559791516063228,0.0006134794524233674,0.0001302030057844424,0.0,0,20,260,0,20,260,18.05846095085144,4004
41,0.18686585260891458,0.0005569897136107708,0.0006120015235329864,0.0001308156546050062,0.0,0,20,260,0,20,260,18.142622470855713,4004
42,0.1868999889767211,0.0005573433936589822,0.0006121278299057545,0.00013341782308569824,0.0,0,20,260,0,20,260,18.211058855056763,4004
43,0.1868317566630948,0.0005563644360033019,0.0006136183783311822,0.00013315255379768112,0.0,0,20,260,0,20,260,18.312736749649048,4004
44,0.18683794122706684,0.0005561117862503314,0.0006137699607814776,0.00013067039117409252,0.0,0,20,260,0,20,260,18.393855094909668,4004
45,0.18685346326997712,0.0005571286765260197,0.0006122478450147165,0.00013065775313532887,0.0,0,20,260,0,20,260,18.51036548614502,4004
46,0.18684723828401828,0.000557640267295767,0.0006119004562303113,0.00013326624063540274,0.0,0,20,260,0,20,260,18.64488935470581,4004
47,0.18684723828401828,0.0005568381311604753,0.0006133910046557389,0.00013363887774175964,0.0,0,20,260,0,20,260,18.763505697250366,4004
48,0.18685966804494253,0.0005562949730493946,0.0006139657671155874,0.00013111250048621534,0.0,0,20,260,0,20,260,18.85975193977356,4005
49,0.1868720775948734,0.0005571539155961128,0.000612601525062928,0.0001304998609175101,0.0,0,20,260,0,20,260,18.929115772247314,4004
50,0.18687516987685943,0.000557703401978434,0.0006119762474554591,0.00013305149574686462,0.0,0,20,260,0,20,260,19.029195547103882,4005
51,0.18686276032692856,0.0005570718331071589,0.0006131573397164894,0.000134080996305741,0.0,0,20,260,0,20,260,19.14542818069458,4004
52,0.18685655555196315,0.0005563770555383485,0.0006140162822632078,0.00013178199272563992,0.0,0,20,260,0,20,260,19.17995595932007,4005
53,0.18683794122706684,0.0005570528853008719,0.0006128099509320842,0.00013058196191018112,0.0,0,20,260,0,20,260,19.328732013702393,4005
54,0.1868782823698388,0.0005578928800413033,0.0006119194040365983,0.00013286201768399528,0.0,0,20,260,0,20,260,19.426926136016846,4005
55,0.18688757942679027,0.0005574697370391846,0.0006129489138473332,0.0001344410046251928,0.0,0,20,260,0,20,260,19.479032039642334,4005
56,0.18685655555196315,0.0005565981379499855,0.0006140226105344482,0.00013249569034516165,0.0,0,20,260,0,20,260,19.529029846191406,4005
57,0.18686276032692856,0.0005571286765260197,0.0006130815484913418,0.0001308282833919113,0.0,0,20,260,0,20,260,19.628137826919556,4005
58,0.18690617354069317,0.0005581139624529404,0.0006118751801527841,0.00013257780058969124,0.0,0,20,260,0,20,260,19.660917043685913,4005
59,0.18687516987685943,0.0005578865887774972,0.0006126836445593161,0.00013457994903672463,0.0,0,20,260,0,20,260,19.72897171974182,4004
60,0.1868999889767211,0.0005570718331071589,0.000614098401759596,0.00013300728111490892,0.0,0,20,260,0,20,260,19.779173612594604,4004
61,0.18692478786558947,0.0005573623414652692,0.0006135046914934605,0.0001308914458301539,0.0,0,20,260,0,20,260,19.81225037574768,4004
