packet_nr,EMG_CH1,EMG_CH2,EMG_CH3,EMG_CH4,EMG_CH5,stim_amp1,stim_freq1,stim_pw1,stim_amp2,stim_freq2,stim_pw2,total_runtime,time_offset
56,0.2673912200003138,0.09297025371779455,0.7807891506672604,0.0001728545269881939,0.0,7,20,260,0,20,260,5.306436777114868,0
57,0.2674935886817467,0.09327436600869987,0.7803727536762987,0.00017280399333685637,0.0,7,20,260,0,20,260,5.352424383163452,250
58,0.2675028857386981,0.0930867827264592,0.7804871226350466,0.00017264610111903758,0.0,7,20,260,0,20,260,5.413262128829956,250
59,0.26759280444821343,0.09314078397437697,0.7808672914203877,0.00017245029478492788,0.0,7,20,260,0,20,260,5.474989891052246,250
60,0.2675897323772207,0.09291625246987678,0.7810662433864005,0.00017248819039750174,0.0,7,20,260,0,20,260,5.540897369384766,250
61,0.26760214192715165,0.09298872782892431,0.7810662433864005,0.00017273451187923192,0.0,7,20,260,0,20,260,5.617218732833862,250
62,0.2674842916247952,0.09314646831626305,0.7812232828049067,0.00017286083675571717,0.0,7,20,260,0,20,260,5.672996520996094,250
63,0.26743152072109905,0.09323173344455427,0.7811507506024403,0.00017257661966141313,0.0,7,20,260,0,20,260,5.7911810874938965,250
0,0.26747186186387095,0.09355289876111783,0.7814349676967444,0.00017250713820378868,0.0,7,20,260,0,20,260,5.838049650192261,250
1,0.26747186186387095,0.09341931672679493,0.7814279191128056,0.0001727282021117086,0.0,7,20,260,0,20,260,5.939119100570679,250
2,0.26744704276400927,0.0933113142309594,0.7814044238330098,0.00017215976792310053,0.0,7,20,260,0,20,260,6.041744947433472,249
3,0.26743152072109905,0.0931777321966365,0.781675908001489,0.00017179344983612546,0.0,7,20,260,0,20,260,6.142878293991089,250
4,0.26741603910017553,0.0935230559662159,0.7811386997976418,0.00017179344983612546,0.0,7,20,260,0,20,260,6.226802110671997,250
5,0.2674842916247952,0.09369784947921289,0.7807713397293506,0.00017225450695453523,0.0,7,20,260,0,20,260,6.319666862487793,250
6,0.26751836735962164,0.09368648079544073,0.780354942738389,0.0001721471298843369,0.0,7,20,260,0,20,260,6.365856170654297,250
7,0.26753388940253187,0.09398917200087453,0.780349334187728,0.00017209661473671645,0.0,7,20,260,0,20,260,6.440295696258545,250
8,0.26744081777805045,0.09358416264149128,0.7805845143593615,0.00017222292110948464,0.0,7,20,260,0,20,260,6.501917600631714,250
9,0.2674656570889056,0.09334115702586132,0.7807407958656162,0.00017200187570528178,0.0,7,20,260,0,20,260,6.573841571807861,250
10,0.2675742103343105,0.09366942776978249,0.7808374296776796,0.00017186291279003285,0.0,7,20,260,0,20,260,6.707790851593018,250
11,0.2673726056754175,0.09397780331710237,0.780259066838577,0.00017241872744359435,0.0,7,20,260,0,20,260,6.739081621170044,250
12,0.26737879023938954,0.09423217761650449,0.7802768019852616,0.00017242503721111765,0.0,7,20,260,0,20,260,6.800868988037109,250
13,0.267425336157127,0.0940502786761499,0.7806264269068682,0.00017221030157443806,0.0,7,20,260,0,20,260,6.9382030963897705,249
14,0.2675028857386981,0.09366232234242489,0.7814826403773623,0.0001720208235115687,0.0,7,20,260,0,20,260,7.027039527893066,250
15,0.2675308173315393,0.0935230559662159,0.7819530007206291,0.00017160397177325612,0.0,7,20,260,0,20,260,7.1271491050720215,250
16,0.2675277048385598,0.09412417512066895,0.7820012797310483,0.0001714650088580072,0.0,7,20,260,0,20,260,7.220048189163208,250
17,0.2676238485340339,0.09448086757402052,0.7815906428731978,0.00017164186738582998,0.0,7,20,260,0,20,260,7.281534910202026,250
18,0.2674935886817467,0.09470539907852071,0.7814641473184262,0.00017195134205394424,0.0,7,20,260,0,20,260,7.393605470657349,262
19,0.2674656570889056,0.09423217761650449,0.7815906428731978,0.00017154080008315495,0.0,7,20,260,0,20,260,7.459066390991211,238
20,0.26754320667047676,0.0941412281463272,0.782194547355175,0.00017114922442236966,0.0,7,20,260,0,20,260,7.524442434310913,260
21,0.26747806663883644,0.09420801916348864,0.7825804004824022,0.00017108605273226848,0.0,7,20,260,0,20,260,7.643121004104614,240
22,0.26743152072109905,0.09437144399271347,0.7820318993860079,0.00017147133712924756,0.0,7,20,260,0,20,260,7.688854932785034,250
23,0.2675710978413311,0.09438991810384323,0.7820375079366689,0.00017179975960364877,0.0,7,20,260,0,20,260,7.749161005020142,250
24,0.2675710978413311,0.0944510247791186,0.7825384879348954,0.0001717555542235516,0.0,7,20,260,0,20,260,7.795431852340698,249
25,0.26773553448341164,0.09425065172763425,0.7829115323450727,0.00017163553911458962,0.0,7,20,260,0,20,260,7.891164779663086,251
26,0.267406742043224,0.09417107094122912,0.7831289015787964,0.00017156607616068223,0.0,7,20,260,0,20,260,7.988062620162964,250
27,0.26737571816839695,0.09426202041140641,0.7829605692677433,0.0001716987108046908,0.0,7,20,260,0,20,260,8.055885553359985,249
28,0.267406742043224,0.09466987194173271,0.7825675917653522,0.00017155974788944187,0.0,7,20,260,0,20,260,8.117825269699097,250
29,0.26745633982096073,0.09466276651437511,0.7823871328582754,0.00017155974788944187,0.0,7,20,260,0,20,260,8.160097599029541,250
30,0.26754009417749736,0.0944510247791186,0.7824660315236542,0.00017144606105172025,0.0,7,20,260,0,20,260,8.325039863586426,250
31,0.2675959169411928,0.09405596301803598,0.7829115323450727,0.0001711618439574162,0.0,7,20,260,0,20,260,8.418104648590088,250
32,0.2673912200003138,0.0940076461120043,0.7833094362770984,0.00017115553418989293,0.0,7,20,260,0,20,260,8.50690245628357,250
33,0.2674998136677055,0.09427481018065009,0.7833818926883396,0.00017108605273226848,0.0,7,20,260,0,20,260,8.573145866394043,250
34,0.2674998136677055,0.09391101229994092,0.7834429804158086,0.00017106710492598154,0.0,7,20,260,0,20,260,8.724015712738037,249
35,0.26740362955024466,0.09402612022313406,0.7834614734747447,0.0001713765980978129,0.0,7,20,260,0,20,260,8.785891771316528,250
36,0.26746254459592617,0.09434160119781154,0.7830991156273134,0.00017150290447058106,0.0,7,20,260,0,20,260,8.855940818786621,250
37,0.26748117913181585,0.09423786195839057,0.7828155806540357,0.00017156607616068223,0.0,7,20,260,0,20,260,8.925682544708252,250
38,0.2675959169411928,0.09382574717164971,0.7828098963121496,0.00017154080008315495,0.0,7,20,260,0,20,260,9.018600463867188,250
39,0.26744704276400927,0.09370495490657049,0.7830017239029985,0.00017131342640771172,0.0,7,20,260,0,20,260,9.091240882873535,250
40,0.26736019612548667,0.0935713728722476,0.7834003857472757,0.00017137026982657252,0.0,7,20,260,0,20,260,9.217056512832642,250
41,0.26743152072109905,0.0935230559662159,0.7836419323818214,0.0001714650088580072,0.0,7,20,260,0,20,260,9.371087551116943,249
42,0.26740053726825863,0.09344347517981078,0.7830926733731758,0.0001719387040151806,0.0,7,20,260,0,20,260,9.476867914199829,250
43,0.2674935886817467,0.09373479770147242,0.7828518088596562,0.00017188818886756016,0.0,7,20,260,0,20,260,9.592248678207397,260
44,0.2672640120080258,0.09341363238490885,0.7827374399009083,0.0001717302781460243,0.0,7,20,260,0,20,260,9.686382293701172,239
45,0.26740362955024466,0.09275282764065196,0.7833890170635035,0.00017154080008315495,0.0,7,20,260,0,20,260,9.732913732528687,250
46,0.26747186186387095,0.09335963113699108,0.7823395359688826,0.00017118079176370316,0.0,7,20,260,0,20,260,9.822190284729004,250
47,0.267406742043224,0.09383853694089339,0.7815792741894256,0.00017179344983612546,0.0,7,20,260,0,20,260,9.901222705841064,250
48,0.26743152072109905,0.093916696641827,0.7805958830431337,0.0001722039733031977,0.0,7,20,260,0,20,260,10.057843208312988,250
49,0.2675618007843797,0.0936069000090356,0.7805958830431337,0.00017185660302250957,0.0,7,20,260,0,20,260,10.186754941940308,251
50,0.26751836735962164,0.0930796772991016,0.7814101081748959,0.00017194503228642097,0.0,7,20,260,0,20,260,10.29347562789917,250
51,0.26740983432521004,0.0931777321966365,0.7817660995594148,0.00017194503228642097,0.0,7,20,260,0,20,260,10.39090085029602,250
52,0.26732298768668744,0.09315925808550674,0.7822365356939068,0.00017173660641726465,0.0,7,20,260,0,20,260,10.45311164855957,250
53,0.2673881075073344,0.09320189064965234,0.7820553188745786,0.00017166081519211693,0.0,7,20,260,0,20,260,10.515911102294922,250
54,0.2674532677499681,0.09315215265814913,0.7818258230448313,0.00017209661473671645,0.0,7,20,260,0,20,260,10.593203783035278,250
55,0.2674998136677055,0.09305551884608576,0.7816702236596029,0.00017192608448013402,0.0,7,20,260,0,20,260,10.719239473342896,250
56,0.26761143898410306,0.0929105681279907,0.781941632036857,0.00017197659962775447,0.0,7,20,260,0,20,260,10.813479661941528,250
