packet_nr,EMG_CH1,EMG_CH2,EMG_CH3,EMG_CH4,EMG_CH5,stim_amp1,stim_freq1,stim_pw1,stim_amp2,stim_freq2,stim_pw2,total_runtime,time_offset
59,0.18828957561506993,0.000586043028919884,0.000963963353584063,0.00041399694783450514,0.0,0,20,260,0,20,260,5.524351119995117,0
60,0.18829580060102874,0.0005876093685704594,0.0009643359444311272,0.00041432535180518926,0.0,0,20,260,0,20,260,5.559807062149048,4005
61,0.18833300903982791,0.0005888788715916841,0.000963786458048806,0.0004165043495281869,0.0,0,20,260,0,20,260,5.609984397888184,4005
62,0.18829268810804933,0.000587520957810265,0.0009648096395883006,0.0004170791119880353,0.0,0,20,260,0,20,260,5.742932558059692,4005
63,0.18832680426486248,0.0005865103958058171,0.000965239147869094,0.00041494433814885195,0.0,0,20,260,0,20,260,5.908614873886108,4004
0,0.18833921381479338,0.0005877356749432275,0.000963786458048806,0.00041444536691415124,0.0,0,20,260,0,20,260,6.07304573059082,4004
1,0.18832059948989707,0.0005891441408797012,0.0009633822628529742,0.0004165927972958154,0.0,0,20,260,0,20,260,6.141305685043335,4004
2,0.18831748699691767,0.0005883420047444096,0.0009644812356176165,0.0004175654266802553,0.0,0,20,260,0,20,260,6.17603063583374,4005
3,0.18832059948989707,0.0005870788299944252,0.0009654033868618701,0.0004157969894317641,0.0,0,20,260,0,20,260,6.2588701248168945,4005
4,0.18834232630777276,0.0005878809661297169,0.0009642033097871188,0.0004148622186524638,0.0,0,20,260,0,20,260,6.342793703079224,4005
5,0.18836092042167568,0.0005893904623614313,0.0009630664414099026,0.0004168075144287779,0.0,0,20,260,0,20,260,6.40953254699707,4004
6,0.1883671251966411,0.0005889736106231188,0.0009645633181065705,0.00041802650230238214,0.0,0,20,260,0,20,260,6.49215292930603,4004
7,0.18830200537599415,0.0005875840924929321,0.0009649422742323093,0.0004163590953491318,0.0,0,20,260,0,20,260,6.558944225311279,4004
8,0.18829580060102874,0.0005879441008123839,0.0009642286228720802,0.00041514643574676785,0.0,0,20,260,0,20,260,6.675576448440552,4004
9,0.18832680426486248,0.000589687298990782,0.0009639759361116755,0.00041662436463714886,0.0,0,20,260,0,20,260,6.742246627807617,4005
10,0.18832059948989707,0.0005896304555719212,0.0009648854308134485,0.00041838018235059354,0.0,0,20,260,0,20,260,6.792823791503906,4005
11,0.1882678690081876,0.0005881525266815402,0.0009655739171184525,0.00041699070122784104,0.0,0,20,260,0,20,260,6.875335693359375,4005
12,0.18825857195123616,0.0005881841310303079,0.0009650117741936508,0.0004153106377321099,0.0,0,20,260,0,20,260,6.9754650592803955,4005
13,0.18828957561506993,0.0005897630902159298,0.000964285466290941,0.000416706484133537,0.0,0,20,260,0,20,260,7.092671871185303,4005
14,0.18834539837876543,0.0005901168072715753,0.0009645317877726711,0.00041884125797272037,0.0,0,20,260,0,20,260,7.126197099685669,4005
15,0.18831441492592502,0.0005886388783811943,0.0009654917606146303,0.00041802650230238214,0.0,0,20,260,0,20,260,7.242842197418213,4004
16,0.18830200537599415,0.0005882914895967891,0.0009650180654574569,0.000415879071920718,0.0,0,20,260,0,20,260,7.326402187347412,4004
17,0.18829889288301477,0.0005899399487437526,0.0009640580926154978,0.0004164601626518068,0.0,0,20,260,0,20,260,7.474163293838501,4004
18,0.18829889288301477,0.0005905652263512214,0.0009645254224939965,0.00041883492970148,0.0,0,20,260,0,20,260,7.591530084609985,4004
19,0.1882678690081876,0.0005890872974608404,0.0009657949255152214,0.00041861388429727714,0.0,0,20,260,0,20,260,7.62617564201355,4005
20,0.18825545945825675,0.0005883799003569834,0.0009654475737382502,0.0004163969909617056,0.0,0,20,260,0,20,260,7.692967891693115,4005
21,0.18829889288301477,0.0005898262619060309,0.0009646454746103927,0.0004169085817314529,0.0,0,20,260,0,20,260,7.825033903121948,4004
22,0.18832680426486248,0.0005908747195230527,0.0009650054829298445,0.0004190875794544506,0.0,0,20,260,0,20,260,7.892887115478516,4004
23,0.1882802785581185,0.0005897567989521235,0.0009666602333406142,0.0004192770575173199,0.0,0,20,260,0,20,260,7.959425449371338,4004
24,0.1882430499083259,0.0005888030803665364,0.0009667612636358551,0.0004170412163754615,0.0,0,20,260,0,20,260,8.057934999465942,4005
