packet_nr,EMG_CH1,EMG_CH2,EMG_CH3,EMG_CH4,EMG_CH5,stim_amp1,stim_freq1,stim_pw1,stim_amp2,stim_freq2,stim_pw2,total_runtime,time_offset
1,0.24776003960545898,0.05615419240712072,0.5544904979615239,0.0001476665734134741,0.0,7,20,260,0,20,260,5.469679594039917,0
2,0.24769801206679806,0.05625793164654169,0.5544485854140172,0.00014790025685644062,0.0,7,20,260,0,20,260,5.639023780822754,250
3,0.24761737020324087,0.05659046564687742,0.5541593660988534,0.00014766025439409228,0.0,7,20,260,0,20,260,5.7217185497283936,250
4,0.24758016176444167,0.05667573077516863,0.5535262819951944,0.0001474076138929803,0.0,7,20,260,0,20,260,5.8219828605651855,250
5,0.24748086515400144,0.056779470014589606,0.5528690204907131,0.00014706024361229217,0.0,7,20,260,0,20,260,5.883737564086914,250
6,0.24756461951053804,0.05667004643328255,0.5520185292577177,0.0001470476055735285,0.0,7,20,260,0,20,260,5.98899245262146,250
7,0.2476359643171438,0.05659046564687742,0.5513491790528254,0.00014653601480378123,0.0,7,20,260,0,20,260,6.13274884223938,250
8,0.24769801206679806,0.05653078005707357,0.5509264155989513,0.00014615074891051924,0.0,7,20,260,0,20,260,6.255569219589233,250
9,0.24775383483049357,0.0564341462450102,0.5506550072216972,0.00014584126499054642,0.0,7,20,260,0,20,260,6.336095333099365,250
10,0.24777556164836922,0.05680931280949153,0.5508176930864769,0.00014515282494483492,0.0,7,20,260,0,20,260,6.429264783859253,250
11,0.24771042161672893,0.0568633140574093,0.5509207312570652,0.00014466018198137456,0.0,7,20,260,0,20,260,6.492490291595459,250
12,0.2476204624852269,0.0561669821763644,0.5512042283347304,0.0001442496492624438,0.0,7,20,260,0,20,260,6.538563013076782,250
13,0.24768869479885325,0.056203930398623925,0.5518977180448322,0.0001438833219236102,0.0,7,20,260,0,20,260,6.585591077804565,250
14,0.2476452815850886,0.056408566706522834,0.5524043444893323,0.00014313172869151458,0.0,7,20,260,0,20,260,6.640432119369507,250
