packet_nr,EMG_CH1,EMG_CH2,EMG_CH3,EMG_CH4,EMG_CH5,stim_amp1,stim_freq1,stim_pw1,stim_amp2,stim_freq2,stim_pw2,total_runtime,time_offset
39,0.0961561959734859,0.36570357527428615,0.9971657467152302,0.0009908186863564576,0.0,7,20,260,7,20,260,9.080256700515747,0
40,0.0961127726542246,0.3662677272586734,0.9970754793660792,0.0009910334034894201,0.0,7,20,260,7,20,260,9.179451704025269,250
41,0.09612518220415545,0.36638281623406027,0.9970463755356225,0.0009910587165743816,0.0,7,20,260,7,20,260,9.295972347259521,249
42,0.09614378642355506,0.36578884040257736,0.9968466656573582,0.0009911281425208547,0.0,7,20,260,7,20,260,9.379430532455444,250
43,0.09602591591020529,0.3653582325569005,0.9962498097593198,0.0009911597468696225,0.0,7,20,260,7,20,260,9.462117671966553,250
44,0.09594837643413079,0.3654250425218682,0.9961347586795455,0.0009911029034507617,0.0,7,20,260,7,20,260,9.496173620223999,249
45,0.09559477499957816,0.36579452474446345,0.9961055790578637,0.0009909134253878922,0.0,7,20,260,7,20,260,9.594676494598389,250
46,0.09591736266480033,0.36597642368481803,0.9961233899957733,0.0009907934472863644,0.0,7,20,260,7,20,260,9.647028923034668,250
47,0.09582741363879499,0.36565522047264193,0.9960508577933069,0.000990686051712449,0.0,7,20,260,7,20,260,9.712925434112549,250
48,0.09583361841376044,0.3648125357358367,0.9952245060655212,0.0009907112907825422,0.0,7,20,260,7,20,260,9.830519676208496,250
49,0.0960910559418456,0.36469176241856377,0.9942652923200512,0.0009910776643806685,0.0,7,20,260,7,20,260,9.896392583847046,250
50,0.0958863387899732,0.3656253966255463,0.9942894697208733,0.000991292381513631,0.0,7,20,260,7,20,260,9.946988582611084,250
51,0.09601041407828839,0.3658741055308686,0.9944102809337589,0.0009911029034507617,0.0,7,20,260,7,20,260,10.046879529953003,250
52,0.09614999119852048,0.36567371353157796,0.9942233797725446,0.0009909134253878922,0.0,7,20,260,7,20,260,10.145347595214844,250
53,0.09620272168022995,0.36547332153228734,0.9938730727299117,0.0009911724034121032,0.0,7,20,260,7,20,260,10.212810754776001,249
54,0.0959049430093728,0.36547332153228734,0.9938133492444952,0.000990970268806753,0.0,7,20,260,7,20,260,10.263583421707153,250
