"['packet_nr', 'EMG_CH1', 'EMG_CH2', 'EMG_CH3', 'EMG_CH4', 'EMG_CH5', 'stim_amp1', 'stim_freq1', 'stim_pw1', 'stim_amp2', 'stim_freq2', 'stim_pw2', 'total_runtimetime_offset']"
56,13.422420079719235,9.447412261118348,-627.2726702516142,-0.6569353781498674,0.0,7,20,260,7,20,260,5.276193141937256,0
57,13.046668631836834,9.173397871689954,-608.8498388879832,-0.6376413609506109,0.0,7,20,260,7,20,260,5.48367714881897,250
58,12.6662120412404,8.90281709638302,-590.7717255685154,-0.6187083629531095,0.0,7,20,260,7,20,260,5.602196216583252,250
59,12.355028555981749,8.636929474279663,-573.082225215939,-0.6001823547998408,0.0,7,20,260,7,20,260,5.6855080127716064,250
60,11.929915710493162,8.372003178627462,-555.8227667147074,-0.5821067244800533,0.0,7,20,260,7,20,260,5.769666433334351,250
61,11.540674603760728,8.119461126159829,-539.0319486473403,-0.5645218958406703,0.0,7,20,260,7,20,260,5.936681509017944,249
62,11.1746356800386,7.8729332096528815,-522.7452018514,-0.5474649751861319,0.0,7,20,260,7,20,260,6.052918195724487,250
63,10.840205574231831,7.635255029090139,-506.9944816823935,-0.5309694289889108,0.0,7,20,260,7,20,260,6.152952432632446,250
0,10.507407222459015,7.412415856829409,-491.8079925901876,-0.5150647954415913,0.0,7,20,260,7,20,260,6.252869129180908,250
1,10.202444433970182,7.193827480528417,-477.2099473167766,-0.49977643226749047,0.0,7,20,260,7,20,260,6.367243766784668,250
2,9.920686078654011,6.976540848523872,-463.22036270425565,-0.48512530287271993,0.0,7,20,260,7,20,260,6.45304799079895,250
3,9.635625404512314,6.7729189593944295,-449.8548937665462,-0.4711278025714325,0.0,7,20,260,7,20,260,6.586366415023804,250
4,9.386058914009963,6.584273102317156,-437.12470732986503,-0.45779562625095427,0.0,7,20,260,7,20,260,6.719576358795166,250
5,9.089565918739124,6.404378681935096,-425.0363961883094,-0.4451356784679263,0.0,7,20,260,7,20,260,6.869636535644531,250
6,8.821805238460962,6.23193409969587,-413.59193435547627,-0.4331500265838443,0.0,7,20,260,7,20,260,7.052053928375244,249
7,8.563834032767122,6.067863156573331,-402.7886736240619,-0.421835897161969,0.0,7,20,260,7,20,260,7.1363983154296875,250
8,8.400999272350106,5.911143724250576,-392.61938127619595,-0.41118571546092025,0.0,7,20,260,7,20,260,7.302448749542236,250
