"['packet_nr', 'EMG_CH1', 'EMG_CH2', 'EMG_CH3', 'EMG_CH4', 'EMG_CH5', 'time_offset', 'stim_amp1', 'stim_freq1', 'stim_pw1', 'stim_amp2', 'stim_freq2', 'stim_pw2', 'total_runtime']"
40,13.457034019813559,9.306449238444415,-627.2726702516142,-0.6569353781498674,0.0,0,7,20,260,7,20,260,5.4363014698028564,0
41,13.015652279144017,9.030865893053413,-608.8498388879832,-0.6376413609506109,0.0,250,7,20,260,7,20,260,5.542669057846069,250
42,12.709938804895282,8.757678663176549,-590.7717255685154,-0.6187083629531095,0.0,250,7,20,260,7,20,260,5.7416090965271,250
43,12.340938922592205,8.493646909221626,-573.082225215939,-0.6001823547998408,0.0,250,7,20,260,7,20,260,5.779214382171631,250
44,11.936996582514173,8.24129442270236,-555.8227667147074,-0.5821067244800533,0.0,250,7,20,260,7,20,260,5.906158924102783,250
45,11.556772084131165,7.9950303304251324,-539.0319486473403,-0.5645218958406703,0.0,250,7,20,260,7,20,260,6.045036792755127,250
46,11.213332557405606,7.755350277834648,-522.7452018514,-0.5474649751861319,0.0,249,7,20,260,7,20,260,6.147474765777588,249
47,10.871993213669326,7.521538251365293,-506.9944816823935,-0.5309694289889108,0.0,250,7,20,260,7,20,260,6.257405519485474,250
48,10.547477253425267,7.293597636279733,-491.8079925901876,-0.5150647954415913,0.0,250,7,20,260,7,20,260,6.3242199420928955,250
49,10.221706932611038,7.07793325257164,-477.2099473167766,-0.49977643226749047,0.0,250,7,20,260,7,20,260,6.4731690883636475,250
50,9.922056190035047,6.874510407648604,-463.22036270425565,-0.48512530287271993,0.0,249,7,20,260,7,20,260,6.623566627502441,249
51,9.646173653877968,6.675396838523066,-449.8548937665462,-0.4711278025714325,0.0,250,7,20,260,7,20,260,6.725275039672852,250
52,9.410143201030314,6.485729740882052,-437.12470732986503,-0.45779562625095427,0.0,250,7,20,260,7,20,260,6.840075969696045,250
53,9.086416742121715,6.3072626534688165,-425.0363961883094,-0.4451356784679263,0.0,250,7,20,260,7,20,260,6.990741729736328,250
54,8.85568563300387,6.139465780420083,-413.59193435547627,-0.4331500265838443,0.0,249,7,20,260,7,20,260,7.124359607696533,249
55,8.63828963414358,5.978318982668103,-402.7886736240619,-0.421835897161969,0.0,250,7,20,260,7,20,260,7.35652494430542,250
56,8.446767283150733,5.824805134049944,-392.61938127619595,-0.41118571546092025,0.0,250,7,20,260,7,20,260,7.457714796066284,250
57,8.21473637082484,5.683980865180927,-383.07231842115624,-0.401187187476856,0.0,250,7,20,260,7,20,260,7.604946613311768,250
58,7.993035457508178,5.54911151416155,-374.131358077345,-0.39182342360935246,0.0,250,7,20,260,7,20,260,7.756688356399536,250
59,7.84939037326761,5.424424488703981,-365.77614176516084,-0.3830731026593,0.0,249,7,20,260,7,20,260,7.841024160385132,249
60,7.687907657134506,5.306219226706998,-357.9822730397729,-0.3749106745135289,0.0,250,7,20,260,7,20,260,7.95783543586731,250
61,7.528459585785136,5.197497980985923,-350.72154607073895,-0.36730659953358685,0.0,250,7,20,260,7,20,260,8.040690422058105,250
62,7.409867525994269,5.0973739623591,-343.9622070717183,-0.3602276223480385,0.0,250,7,20,260,7,20,260,8.17506456375122,250
63,7.247426711494571,5.002140039259567,-337.6692461008438,-0.3536370774516048,0.0,249,7,20,260,7,20,260,8.274205446243286,249
0,7.129584252351647,4.917741091455091,-331.80471649306116,-0.3474952237429392,0.0,250,7,20,260,7,20,260,8.439629316329956,250
1,6.997904076414082,4.842880605015561,-326.3280789521239,-0.3417596048881757,0.0,250,7,20,260,7,20,260,8.506510019302368,250
2,6.868272644204156,4.761800123894618,-321.19656712392094,-0.3363854321816267,0.0,265,7,20,260,7,20,260,8.607576847076416,265
3,6.781431761755672,4.684879981446764,-316.3655712961199,-0.3313259863899608,0.0,235,7,20,260,7,20,260,8.707544565200806,235
4,6.691486841476893,4.614832497450515,-311.7890367231758,-0.3265330349133552,0.0,260,7,20,260,7,20,260,8.905775308609009,260
5,6.608058376588035,4.551979480411916,-307.4198729617396,-0.3219572604777127,0.0,240,7,20,260,7,20,260,8.995057106018066,240
6,6.489672311869309,4.491420417574857,-303.21037052028043,-0.3175486974869689,0.0,250,7,20,260,7,20,260,9.157542705535889,250
7,6.403349731362637,4.431443709722338,-299.1126210788723,-0.3132571721143911,0.0,250,7,20,260,7,20,260,9.208173036575317,250
8,6.2975918803252915,4.367863353980595,-295.07893752086704,-0.30903274219686877,0.0,249,7,20,260,7,20,260,9.34116506576538,249
9,6.236609863016028,4.304045491123942,-291.06227003755015,-0.3048261330164827,0.0,251,7,20,260,7,20,260,9.407403469085693,251
10,6.128122916541691,4.243604450379623,-287.0166146195183,-0.3005891651087786,0.0,250,7,20,260,7,20,260,9.524188756942749,250
11,6.027921360588302,4.184340660140499,-282.89741033380653,-0.29627517032648654,0.0,250,7,20,260,7,20,260,9.622633695602417,250
12,5.968268681450085,4.1226978395183815,-278.6619219028085,-0.29183939250997826,0.0,250,7,20,260,7,20,260,9.740724086761475,250
13,5.88241876472949,4.056207136059133,-274.2696042485784,-0.28723936927027727,0.0,249,7,20,260,7,20,260,9.840721607208252,249
14,5.758675661179742,3.9856651148847697,-269.68244584271747,-0.2824352915754058,0.0,250,7,20,260,7,20,260,9.957728624343872,250
15,5.689573710662702,3.912978658137398,-264.8652879060186,-0.27739033804446267,0.0,250,7,20,260,7,20,260,10.074998140335083,250
16,5.558463103198823,3.839294465039838,-259.78611673141006,-0.2720709810940455,0.0,250,7,20,260,7,20,260,10.157370328903198,250
17,5.451748565941109,3.761104212979468,-254.4163266563398,-0.2664472623461729,0.0,250,7,20,260,7,20,260,10.239999055862427,250
18,5.365702321132904,3.6769001571374234,-248.73095148420472,-0.26049303499325827,0.0,250,7,20,260,7,20,260,10.355825185775757,250
19,5.232136524292127,3.5904751303464844,-242.70886244621212,-0.2541861711212664,0.0,250,7,20,260,7,20,260,10.55271053314209,250
20,5.065703404600492,3.493528706941986,-236.33293110247024,-0.24750873231413267,0.0,250,7,20,260,7,20,260,10.6248300075531,250
21,4.941870659482193,3.394198426415628,-229.5901559013199,-0.24044710219788035,0.0,250,7,20,260,7,20,260,10.674050331115723,250
22,4.805898591932147,3.2875416707220895,-222.47175144601758,-0.23299207992858062,0.0,249,7,20,260,7,20,260,10.805180788040161,249
23,4.63473330914635,3.177912465639541,-214.97319985486556,-0.2251389339812202,0.0,250,7,20,260,7,20,260,10.890187740325928,250
24,4.461464892947976,3.0611432792358846,-207.09426394171243,-0.21688741595348623,0.0,250,7,20,260,7,20,260,10.990195989608765,250
25,4.243321144109143,2.940453447769452,-198.83896228535912,-0.20824173445624455,0.0,250,7,20,260,7,20,260,11.107733249664307,250
26,4.078478171806548,2.815653973397647,-190.21550659573893,-0.19921048951786774,0.0,250,7,20,260,7,20,260,11.320329666137695,250
27,3.9204206946230458,2.685405485341307,-181.23620211878233,-0.18980656827940748,0.0,250,7,20,260,7,20,260,11.457071304321289,250
28,3.7263798123063268,2.54438765383416,-171.91731214766756,-0.18004700309880112,0.0,255,7,20,260,7,20,260,11.573698043823242,255
29,3.5010749892308275,2.3990204971751865,-162.27888802282484,-0.16995279351185225,0.0,251,7,20,260,7,20,260,11.674049139022827,251
30,3.278043348136436,2.249980712720178,-152.34456630385404,-0.15954869381273687,0.0,243,7,20,260,7,20,260,11.823402404785156,243
31,3.0149263950227336,2.09768415313257,-142.14133508080818,-0.14886296831452633,0.0,250,7,20,260,7,20,260,11.907436847686768,250
32,2.7872266670774932,1.9470677388217734,-131.69927165763755,-0.13792711662810753,0.0,251,7,20,260,7,20,260,12.090806722640991,251
33,2.569090481949787,1.7882123289867065,-121.05125408469863,-0.12677557155353114,0.0,250,7,20,260,7,20,260,12.287250995635986,250
34,2.338942459967548,1.6233270093797054,-110.23264923803434,-0.11544537240906647,0.0,250,7,20,260,7,20,260,12.376347303390503,250
35,2.1082133146528435,1.4624635838500848,-99.28098033877346,-0.10397581682813267,0.0,250,7,20,260,7,20,260,12.440789222717285,250
36,1.863830259439722,1.306033757085045,-88.23557697485232,-0.09240809423111476,0.0,249,7,20,260,7,20,260,12.540837526321411,249
37,1.6716194944700955,1.1413780049229427,-77.13721082795473,-0.08078490432642091,0.0,250,7,20,260,7,20,260,12.706655263900757,250
38,1.4386072570979722,0.9770701379157327,-66.02772041998374,-0.06915006411182334,0.0,250,7,20,260,7,20,260,12.775275707244873,250
39,1.2234244567429668,0.8085812869473221,-54.9496282746682,-0.0575481069322583,0.0,250,7,20,260,7,20,260,12.85755729675293,250
40,1.0103234302460273,0.638976506655836,-43.945753940495266,-0.04602387720323961,0.0,250,7,20,260,7,20,260,13.09011435508728,250
41,0.7552074214225342,0.48294766673932105,-33.05882634074736,-0.03462212442955737,0.0,250,7,20,260,7,20,260,13.15833568572998,250
42,0.4648998063433827,0.3278600227694036,-22.33109890499141,-0.023387100136959105,0.0,250,7,20,260,7,20,260,13.25755262374878,250
43,0.23950882261137357,0.17308367085364174,-11.803970894172412,-0.012362161290320906,0.0,250,7,20,260,7,20,260,13.408226251602173,250
44,0.019293666855846325,0.020031189899619273,-1.517618259040896,-0.0015893836959683626,0.0,250,7,20,260,7,20,260,13.50760793685913,250
45,-0.20876408985719463,-0.12952332302802597,8.489362730210983,0.008890811220864044,0.0,249,7,20,260,7,20,260,13.70615839958191,249
46,-0.4007857394364345,-0.2732186197165797,18.180295975457202,0.019040013008832474,0.0,250,7,20,260,7,20,260,13.775487661361694,250
47,-0.6364978209223052,-0.4066646057300817,27.52074721293462,0.02882215906366921,0.0,250,7,20,260,7,20,260,13.857478141784668,250
48,-0.8548783729936656,-0.54037374038063,36.47882407878946,0.038203848883342495,0.0,260,7,20,260,7,20,260,13.974263429641724,260
49,-1.024409770961759,-0.6654393576527502,45.025452016911544,0.04715463302312474,0.0,239,7,20,260,7,20,260,14.105032444000244,239
50,-1.171089721535173,-0.7915948152675676,53.13462369646561,0.05564727430767414,0.0,250,7,20,260,7,20,260,14.224174737930298,250
51,-1.3479129002833174,-0.9074249641404473,60.78361985454411,0.06365797911697925,0.0,250,7,20,260,7,20,260,14.274203538894653,250
52,-1.426386335445038,-1.011615685079861,67.95319974471107,0.07116659684090496,0.0,250,7,20,260,7,20,260,14.520675659179688,250
53,-1.5818311878405829,-1.1094089033097128,74.6277596524198,0.07815678589054736,0.0,250,7,20,260,7,20,260,14.607866287231445,250
54,-1.7076092059083945,-1.1984309551853265,80.79545823079076,0.08461614496093756,0.0,250,7,20,260,7,20,260,14.66231656074524,250
55,-1.8860142327035758,-1.2845246166405722,86.44830771235661,0.0905363085560427,0.0,251,7,20,260,7,20,260,14.806859731674194,251
56,-1.9824027987275805,-1.356528657752588,91.58223036136818,0.09591300611061004,0.0,250,7,20,260,7,20,260,14.940851926803589,250
57,-2.0772946307877262,-1.4264179849297425,96.19707984431253,0.10074608437126165,0.0,250,7,20,260,7,20,260,14.972808122634888,250
58,-2.1693400209430798,-1.490490528054123,100.29662751060846,0.10503949302842655,0.0,250,7,20,260,7,20,260,15.190743684768677,250
59,-2.210004786217283,-1.544135922742763,103.88851388820086,0.10880123391824008,0.0,249,7,20,260,7,20,260,15.34081506729126,249
60,-2.2688020226572476,-1.5879265967134861,106.98416600718254,0.11204327443653417,0.0,250,7,20,260,7,20,260,15.474112749099731,250
61,-2.3590613216756746,-1.625206994286548,109.59868146590915,0.11478142612262704,0.0,250,7,20,260,7,20,260,15.541475534439087,250
62,-2.4003523176507056,-1.656942186212109,111.75068044567637,0.11703518967601437,0.0,250,7,20,260,7,20,260,15.705255508422852,250
63,-2.428886579133378,-1.6824338919620736,113.46212715934556,0.1188275679615897,0.0,249,7,20,260,7,20,260,15.823435306549072,249
0,-2.445306206055026,-1.7046893598491286,114.75812248391112,0.12018484883614203,0.0,250,7,20,260,7,20,260,15.92513632774353,250
1,-2.492997561978634,-1.7217656638875223,115.66666977460366,0.12113635988818738,0.0,250,7,20,260,7,20,260,16.023634433746338,250
2,-2.4814635347375384,-1.7335031354743702,116.21841608660486,0.12171419742247873,0.0,250,7,20,260,7,20,260,16.19076132774353,250
3,-2.4775249950553855,-1.728056887396313,116.44637123786585,0.12195293223775991,0.0,250,7,20,260,7,20,260,16.289490461349487,250
4,-2.4895944988549084,-1.7246027722617525,116.38560733113015,0.12188929493967329,0.0,250,7,20,260,7,20,260,16.40736413002014,250
5,-2.4751175804796754,-1.7229784022365653,116.07294151354391,0.12156184369858512,0.0,250,7,20,260,7,20,260,16.475931882858276,250
6,-2.455146641942125,-1.720558970116007,115.54660488687281,0.12101061750310275,0.0,250,7,20,260,7,20,260,16.592427015304565,250
7,-2.460545265558395,-1.7096117864797211,114.84590058928478,0.12027677807309972,0.0,250,7,20,260,7,20,260,16.75400161743164,250
8,-2.4555540012574943,-1.6965265639360498,114.01085415006966,0.1194022436802766,0.0,249,7,20,260,7,20,260,16.841297149658203,249
9,-2.4193257101409693,-1.6831935773089133,113.0818592709809,0.11842931817907716,0.0,250,7,20,260,7,20,260,17.007517337799072,250
10,-2.380119134978231,-1.6683848641609658,112.09932221178416,0.11740031857580517,0.0,250,7,20,260,7,20,260,17.09085702896118,250
11,-2.3757690228497594,-1.6508294855690244,111.10330795301812,0.11635720445899608,0.0,250,7,20,260,7,20,260,17.180415391921997,250
12,-2.3957108910023623,-1.6386264360129907,110.13319127611265,0.11534121257967986,0.0,249,7,20,260,7,20,260,17.388102054595947,249
13,-2.3869878263371413,-1.6258212988791345,109.22731584030873,0.1143924998066013,0.0,251,7,20,260,7,20,260,17.47418189048767,251
14,-2.3166429155472277,-1.6101373177963485,108.42266424797563,0.1135497975894609,0.0,250,7,20,260,7,20,260,17.54116678237915,250
15,-2.2819182354402767,-1.6009680040776089,107.75454197585529,0.11285008094378005,0.0,250,7,20,260,7,20,260,17.672630548477173,250
16,-2.3022017116342615,-1.5985912652201337,107.25627791064187,0.1123282548252934,0.0,250,7,20,260,7,20,260,17.807814836502075,250
17,-2.2612765001947452,-1.5941611518920635,106.95894406450373,0.11201686059127311,0.0,249,7,20,260,7,20,260,17.925528526306152,249
