"['packet_nr', 'EMG_CH1', 'EMG_CH2', 'EMG_CH3', 'EMG_CH4', 'EMG_CH5', 'stim_amp1', 'stim_freq1', 'stim_pw1', 'stim_amp2', 'stim_freq2', 'stim_pw2', 'total_runtime']"
22,13.163970955920968,12.069324482853506,-627.2726702516142,-0.6569353781498674,0.0,7,20,260,7,20,260,5.477100133895874,0
23,12.845422495719754,11.71671892546736,-608.8498388879832,-0.6376413609506109,0.0,7,20,260,7,20,260,5.551752090454102,250
24,12.43749743027262,11.364630760014125,-590.7717255685154,-0.6187083629531095,0.0,7,20,260,7,20,260,5.668544769287109,250
25,12.030468386818042,11.024777981896282,-573.082225215939,-0.6001823547998408,0.0,7,20,260,7,20,260,5.766783237457275,249
26,11.66927542964182,10.68680648045836,-555.8227667147074,-0.5821067244800533,0.0,7,20,260,7,20,260,5.918503999710083,250
27,11.351356524015058,10.361478992965381,-539.0319486473403,-0.5645218958406703,0.0,7,20,260,7,20,260,6.002771377563477,250
28,11.053393700574997,10.041796124200335,-522.7452018514,-0.5474649751861319,0.0,7,20,260,7,20,260,6.269452810287476,250
29,10.749236797474783,9.737706186695593,-506.9944816823935,-0.5309694289889108,0.0,7,20,260,7,20,260,6.417597770690918,249
30,10.373059328708107,9.455273182004003,-491.8079925901876,-0.5150647954415913,0.0,7,20,260,7,20,260,6.585590600967407,250
31,10.066283288594997,9.171473338298602,-477.2099473167766,-0.49977643226749047,0.0,7,20,260,7,20,260,6.7192909717559814,250
32,9.761916284292216,8.902548159046153,-463.22036270425565,-0.48512530287271993,0.0,7,20,260,7,20,260,6.8194169998168945,250
33,9.506743373592188,8.6416232651853,-449.8548937665462,-0.4711278025714325,0.0,7,20,260,7,20,260,7.052133798599243,249
34,9.196106537772001,8.395002538707748,-437.12470732986503,-0.45779562625095427,0.0,7,20,260,7,20,260,7.186116456985474,250
35,8.925613786399797,8.163335783924463,-425.0363961883094,-0.4451356784679263,0.0,7,20,260,7,20,260,7.303128004074097,250
36,8.701467686334217,7.944767548965151,-413.59193435547627,-0.4331500265838443,0.0,7,20,260,7,20,260,7.402662754058838,250
37,8.451115218965548,7.738855379415698,-402.7886736240619,-0.421835897161969,0.0,7,20,260,7,20,260,7.5193092823028564,250
38,8.255175364293848,7.536973699037315,-392.61938127619595,-0.41118571546092025,0.0,7,20,260,7,20,260,7.652886390686035,249
39,8.06258905462274,7.346711492079814,-383.07231842115624,-0.401187187476856,0.0,7,20,260,7,20,260,7.736074447631836,250
40,7.925215319222563,7.175277030347019,-374.131358077345,-0.39182342360935246,0.0,7,20,260,7,20,260,7.819375276565552,250
41,7.737535021476102,7.023919686101103,-365.77614176516084,-0.3830731026593,0.0,7,20,260,7,20,260,7.983620882034302,250
42,7.558545444179156,6.876139894249207,-357.9822730397729,-0.3749106745135289,0.0,7,20,260,7,20,260,8.135183811187744,249
43,7.353138623126149,6.731407504052643,-350.72154607073895,-0.36730659953358685,0.0,7,20,260,7,20,260,8.253492593765259,250
44,7.257905422043247,6.597888133658807,-343.9622070717183,-0.3602276223480385,0.0,7,20,260,7,20,260,8.486109256744385,250
45,7.105363125269367,6.472676862106372,-337.6692461008438,-0.3536370774516048,0.0,7,20,260,7,20,260,8.552760601043701,250
46,6.978585979184179,6.363804489131683,-331.80471649306116,-0.3474952237429392,0.0,7,20,260,7,20,260,8.636085748672485,250
47,6.871619515518065,6.260844281149643,-326.3280789521239,-0.3417596048881757,0.0,7,20,260,7,20,260,8.833802461624146,249
48,6.807451081968127,6.166312706077473,-321.19656712392094,-0.3363854321816267,0.0,7,20,260,7,20,260,9.000431537628174,264
49,6.688331241353494,6.067667491780086,-316.3655712961199,-0.3313259863899608,0.0,7,20,260,7,20,260,9.102980136871338,236
50,6.601608134732366,5.975342683385242,-311.7890367231758,-0.3265330349133552,0.0,7,20,260,7,20,260,9.235931873321533,259
51,6.418586765444009,5.892463662992574,-307.4198729617396,-0.3219572604777127,0.0,7,20,260,7,20,260,9.352869033813477,240
52,6.347748869186074,5.817882312421509,-303.21037052028043,-0.3175486974869689,0.0,7,20,260,7,20,260,9.452633380889893,256
53,6.287997721418904,5.740144317183578,-299.1126210788723,-0.3132571721143911,0.0,7,20,260,7,20,260,9.536106824874878,243
54,6.2380649226522005,5.6614821014043715,-295.07893752086704,-0.30903274219686877,0.0,7,20,260,7,20,260,9.669461488723755,249
55,6.144776624653929,5.585283067794067,-291.06227003755015,-0.3048261330164827,0.0,7,20,260,7,20,260,9.85001015663147,250
56,6.0061290893578265,5.505544782526534,-287.0166146195183,-0.3005891651087786,0.0,7,20,260,7,20,260,10.00161600112915,249
57,5.964418746740543,5.428208888518569,-282.89741033380653,-0.29627517032648654,0.0,7,20,260,7,20,260,10.049074649810791,250
58,5.839337490591664,5.349243504043717,-278.6619219028085,-0.29183939250997826,0.0,7,20,260,7,20,260,10.153195858001709,250
59,5.74892532808169,5.269048461356701,-274.2696042485784,-0.28723936927027727,0.0,7,20,260,7,20,260,10.217851877212524,250
60,5.678584180202665,5.1801109050976955,-269.68244584271747,-0.2824352915754058,0.0,7,20,260,7,20,260,10.319491624832153,250
61,5.594555878384108,5.089458819965368,-264.8652879060186,-0.27739033804446267,0.0,7,20,260,7,20,260,10.518161058425903,250
62,5.506797232991703,4.994232754356673,-259.78611673141006,-0.2720709810940455,0.0,7,20,260,7,20,260,10.651092052459717,250
63,5.39272539481385,4.887473099510563,-254.4163266563398,-0.2664472623461729,0.0,7,20,260,7,20,260,10.736268758773804,250
0,5.238556817732701,4.775641677863778,-248.73095148420472,-0.26049303499325827,0.0,7,20,260,7,20,260,10.834417819976807,250
1,5.090982720766604,4.663786739985791,-242.70886244621212,-0.2541861711212664,0.0,7,20,260,7,20,260,11.018977403640747,249
2,4.92040859736896,4.543162654106795,-236.33293110247024,-0.24750873231413267,0.0,7,20,260,7,20,260,11.117609024047852,250
3,4.834327250319035,4.415251256051015,-229.5901559013199,-0.24044710219788035,0.0,7,20,260,7,20,260,11.234070777893066,250
4,4.669477243411145,4.277532087232302,-222.47175144601758,-0.23299207992858062,0.0,7,20,260,7,20,260,11.299428939819336,250
5,4.509739655807645,4.132443804607886,-214.97319985486556,-0.2251389339812202,0.0,7,20,260,7,20,260,11.451875925064087,250
6,4.335115840302749,3.9808318396117897,-207.09426394171243,-0.21688741595348623,0.0,7,20,260,7,20,260,11.63603687286377,250
7,4.178197389234815,3.8241801089432443,-198.83896228535912,-0.20824173445624455,0.0,7,20,260,7,20,260,11.751389503479004,261
8,3.976100026541018,3.6659492351642995,-190.21550659573893,-0.19921048951786774,0.0,7,20,260,7,20,260,11.85281229019165,239
9,3.8028646613092163,3.4922611175269602,-181.23620211878233,-0.18980656827940748,0.0,7,20,260,7,20,260,11.919841051101685,250
10,3.6196958167552338,3.3078554313836146,-171.91731214766756,-0.18004700309880112,0.0,7,20,260,7,20,260,12.0844087600708,249
11,3.449013010529202,3.1167336968399306,-162.27888802282484,-0.16995279351185225,0.0,7,20,260,7,20,260,12.201472043991089,250
12,3.2734393088999294,2.9305766530608937,-152.34456630385404,-0.15954869381273687,0.0,7,20,260,7,20,260,12.35163927078247,249
13,3.0173401879007646,2.7406792791475914,-142.14133508080818,-0.14886296831452633,0.0,7,20,260,7,20,260,12.51833462715149,249
14,2.7343105266507983,2.544157648009924,-131.69927165763755,-0.13792711662810753,0.0,7,20,260,7,20,260,12.634875059127808,250
15,2.520315374256417,2.335906474884191,-121.05125408469863,-0.12677557155353114,0.0,7,20,260,7,20,260,12.736102104187012,249
16,2.3335823369815367,2.1242694958695747,-110.23264923803434,-0.11544537240906647,0.0,7,20,260,7,20,260,12.801454067230225,250
17,2.0886119133546353,1.9065909483139791,-99.28098033877346,-0.10397581682813267,0.0,7,20,260,7,20,260,12.91972041130066,250
18,1.8547655092412323,1.6977227091163705,-88.23557697485232,-0.09240809423111476,0.0,7,20,260,7,20,260,13.04724383354187,250
19,1.6140641941526328,1.4896464448503666,-77.13721082795473,-0.08078490432642091,0.0,7,20,260,7,20,260,13.167898893356323,250
20,1.3802496598704281,1.2794302907206063,-66.02772041998374,-0.06915006411182334,0.0,7,20,260,7,20,260,13.199538946151733,250
21,1.177087274656703,1.0587305204143884,-54.9496282746682,-0.0575481069322583,0.0,7,20,260,7,20,260,13.368771076202393,250
22,0.930757492419311,0.8459104643046194,-43.945753940495266,-0.04602387720323961,0.0,7,20,260,7,20,260,13.568902969360352,250
23,0.6723090504557875,0.634415604078693,-33.05882634074736,-0.03462212442955737,0.0,7,20,260,7,20,260,13.751737833023071,250
24,0.4953712351084347,0.4314811452856826,-22.33109890499141,-0.023387100136959105,0.0,7,20,260,7,20,260,13.802862167358398,249
25,0.302765991386362,0.2314157489387607,-11.803970894172412,-0.012362161290320906,0.0,7,20,260,7,20,260,13.985635757446289,250
26,0.04052840520948198,0.03641116402317601,-1.517618259040896,-0.0015893836959683626,0.0,7,20,260,7,20,260,14.05323076248169,250
27,-0.18680837308003154,-0.16163427080748813,8.489362730210983,0.008890811220864044,0.0,7,20,260,7,20,260,14.236039161682129,250
