package_nr,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,time_delta
56,0,0,0,2.2763263496372588e-10,0.0,0
57,0,0,0,2.2895898140381138e-10,0.0,4004
58,0,0,0,2.2684313686719784e-10,0.0,4004
59,0,0,0,2.251946777202344e-10,0.0,4005
60,0,0,0,2.2715893980655247e-10,0.0,4005
61,0,0,0,2.2891475751999715e-10,0.0,4004
62,0,0,0,2.2719050714788597e-10,0.0,4004
63,0,0,0,2.251946777202344e-10,0.0,4005
0,0,0,0,2.2665365880432847e-10,0.0,4005
1,0,0,0,2.2881370872103918e-10,0.0,4004
2,0,0,0,2.2763263496372588e-10,0.0,4004
3,0,0,0,2.2535889820929356e-10,0.0,4004
4,0,0,0,2.2621154949220568e-10,0.0,4005
5,0,0,0,2.286621262707437e-10,0.0,4004
6,0,0,0,2.2809369208213562e-10,0.0,4004
7,0,0,0,2.2565573483864415e-10,0.0,4004
8,0,0,0,2.258767987465641e-10,0.0,4004
9,0,0,0,2.2837790917643966e-10,0.0,4005
10,0,0,0,2.2837790917643966e-10,0.0,4005
11,0,0,0,2.2591469435913797e-10,0.0,4004
12,0,0,0,2.2556732407844984e-10,0.0,4004
13,0,0,0,2.2811894965594584e-10,0.0,4005
14,0,0,0,2.2870633165084087e-10,0.0,4005
15,0,0,0,2.2627470267858976e-10,0.0,4005
16,0,0,0,2.2536520797681683e-10,0.0,4004
17,0,0,0,2.2763263496372588e-10,0.0,4004
18,0,0,0,2.2888319017866365e-10,0.0,4004
19,0,0,0,2.267357597969995e-10,0.0,4005
20,0,0,0,2.2524521137157194e-10,0.0,4005
21,0,0,0,2.2715893980655247e-10,0.0,4005
22,0,0,0,2.2880107068227554e-10,0.0,4005
23,0,0,0,2.2701997689130354e-10,0.0,4004
24,0,0,0,2.2509362892127644e-10,0.0,4005
25,0,0,0,2.2663471099804156e-10,0.0,4005
26,0,0,0,2.2870002188331756e-10,0.0,4005
27,0,0,0,2.274557764359031e-10,0.0,4005
28,0,0,0,2.252578309066185e-10,0.0,4005
29,0,0,0,2.26198911453442e-10,0.0,4005
30,0,0,0,2.285736970068323e-10,0.0,4005
31,0,0,0,2.2792947159307647e-10,0.0,4005
32,0,0,0,2.2548520458206173e-10,0.0,4005
33,0,0,0,2.2578205971512944e-10,0.0,4005
34,0,0,0,2.2840949502149024e-10,0.0,4005
35,0,0,0,2.2837159940891638e-10,0.0,4005
