package_nr,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,time_delta
14,0,0,0,8.341872296979047e-05,0.0,0
15,0,0,0,6.531111688315634e-05,0.0,4004
16,0,0,0,5.270698887838905e-05,0.0,4004
17,0,0,0,4.587149279256183e-05,0.0,4004
18,0,0,0,4.1672892330068916e-05,0.0,4005
19,0,0,0,3.570577447974226e-05,0.0,4005
20,0,0,0,2.592797028453128e-05,0.0,4005
21,0,0,0,1.3664616345764514e-05,0.0,4005
22,0,0,0,1.3152733542083168e-06,0.0,4005
23,0,0,0,9.134730658124455e-06,0.0,4004
24,0,0,0,1.5822472856553323e-05,0.0,4004
25,0,0,0,1.759491205065136e-05,0.0,4005
26,0,0,0,1.607341006011244e-05,0.0,4005
27,0,0,0,1.5185487054511368e-05,0.0,4005
28,0,0,0,1.772691209080745e-05,0.0,4005
29,0,0,0,2.3100701177093762e-05,0.0,4005
30,0,0,0,2.929685359187109e-05,0.0,4004
31,0,0,0,3.4686615362669755e-05,0.0,4005
32,0,0,0,3.7796726951732773e-05,0.0,4005
33,0,0,0,3.713354945854866e-05,0.0,4005
34,0,0,0,3.307289381181498e-05,0.0,4005
35,0,0,0,2.8626664835325552e-05,0.0,4005
36,0,0,0,2.680775732651266e-05,0.0,4005
37,0,0,0,2.797958418673093e-05,0.0,4005
38,0,0,0,3.0419321593639364e-05,0.0,4004
39,0,0,0,3.268377055411621e-05,0.0,4004
40,0,0,0,3.382914854871137e-05,0.0,4004
41,0,0,0,3.251295886571145e-05,0.0,4005
42,0,0,0,2.8070858750171373e-05,0.0,4004
43,0,0,0,2.244927655164985e-05,0.0,4005
44,0,0,0,1.859316335102904e-05,0.0,4004
45,0,0,0,1.7536932804864522e-05,0.0,4004
46,0,0,0,1.7992271837646624e-05,0.0,4004
47,0,0,0,1.866480445336549e-05,0.0,4004
48,0,0,0,1.890193676456126e-05,0.0,4004
49,0,0,0,1.7827701461592314e-05,0.0,4004
50,0,0,0,1.4326815164289527e-05,0.0,4004
51,0,0,0,9.169535054688643e-06,0.0,4004
52,0,0,0,4.855299921530376e-06,0.0,4004
53,0,0,0,2.986694992155967e-06,0.0,4005
54,0,0,0,2.751053294059704e-06,0.0,4005
55,0,0,0,2.810648836716318e-06,0.0,4005
56,0,0,0,2.8268701552594647e-06,0.0,4005
57,0,0,0,2.3939443160189497e-06,0.0,4005
58,0,0,0,3.6831206164008496e-07,0.0,4004
59,0,0,0,3.4520966613234412e-06,0.0,4004
60,0,0,0,7.276142395454328e-06,0.0,4004
61,0,0,0,9.15987356374262e-06,0.0,4004
62,0,0,0,9.396710211022353e-06,0.0,4004
63,0,0,0,9.290156147644152e-06,0.0,4004
0,0,0,0,9.193730141199664e-06,0.0,4004
1,0,0,0,9.042739176350253e-06,0.0,4004
2,0,0,0,9.616479872355722e-06,0.0,4004
