package_nr,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,time_delta
28,0,0,0,4.2347152129709295e-05,0.0,0
29,0,0,0,3.3497841007164566e-05,0.0,4005
30,0,0,0,2.758976825396577e-05,0.0,4004
31,0,0,0,2.371171013800655e-05,0.0,4004
32,0,0,0,2.0976771926580633e-05,0.0,4005
33,0,0,0,1.8236866991233397e-05,0.0,4004
34,0,0,0,1.3908607385764718e-05,0.0,4004
35,0,0,0,7.419435649088258e-06,0.0,4005
36,0,0,0,3.651591125545182e-07,0.0,4004
37,0,0,0,4.898092516075338e-06,0.0,4004
38,0,0,0,7.663002682907794e-06,0.0,4005
39,0,0,0,8.621052941146568e-06,0.0,4004
40,0,0,0,8.5342753938714e-06,0.0,4004
41,0,0,0,8.147320131164973e-06,0.0,4004
42,0,0,0,8.76314866325292e-06,0.0,4004
43,0,0,0,1.142513532598437e-05,0.0,4005
44,0,0,0,1.5279725395295644e-05,0.0,4004
45,0,0,0,1.82720731183533e-05,0.0,4004
46,0,0,0,1.9272950470589208e-05,0.0,4005
47,0,0,0,1.8689992964472568e-05,0.0,4005
48,0,0,0,1.721785787361127e-05,0.0,4005
49,0,0,0,1.527074190706604e-05,0.0,4005
50,0,0,0,1.3810809989248777e-05,0.0,4005
51,0,0,0,1.399283219475256e-05,0.0,4005
52,0,0,0,1.5724451543080938e-05,0.0,4004
53,0,0,0,1.7370227261001547e-05,0.0,4005
54,0,0,0,1.7522882866639773e-05,0.0,4005
55,0,0,0,1.6294551835368976e-05,0.0,4005
56,0,0,0,1.442450968043628e-05,0.0,4005
57,0,0,0,1.2122440077296607e-05,0.0,4004
58,0,0,0,9.818396741544863e-06,0.0,4005
59,0,0,0,8.6281712461353e-06,0.0,4005
60,0,0,0,9.097104387556289e-06,0.0,4005
61,0,0,0,1.0056438976333026e-05,0.0,4005
62,0,0,0,1.0031070189375273e-05,0.0,4005
63,0,0,0,8.813610258938521e-06,0.0,4004
0,0,0,0,7.09162444364499e-06,0.0,4005
1,0,0,0,5.1025400628103e-06,0.0,4005
2,0,0,0,2.8653696802478095e-06,0.0,4005
3,0,0,0,1.1870575671059329e-06,0.0,4005
4,0,0,0,9.653091210134221e-07,0.0,4005
5,0,0,0,1.6821500843320273e-06,0.0,4004
6,0,0,0,1.8391589177655527e-06,0.0,4004
7,0,0,0,9.818832361526684e-07,0.0,4004
8,0,0,0,3.1543414384735996e-07,0.0,4004
9,0,0,0,1.6789482628731987e-06,0.0,4005
10,0,0,0,3.304932936526616e-06,0.0,4004
11,0,0,0,4.867544400604653e-06,0.0,4004
12,0,0,0,5.396038343151372e-06,0.0,4005
13,0,0,0,4.849200554911383e-06,0.0,4004
14,0,0,0,4.33457541890542e-06,0.0,4004
15,0,0,0,4.697380480132351e-06,0.0,4004
16,0,0,0,5.503500549289261e-06,0.0,4004
17,0,0,0,6.184664632903493e-06,0.0,4004
18,0,0,0,7.047365105857469e-06,0.0,4004
19,0,0,0,8.149376531449618e-06,0.0,4004
20,0,0,0,8.721533283305156e-06,0.0,4004
21,0,0,0,8.220434894374689e-06,0.0,4004
22,0,0,0,7.4295454895661966e-06,0.0,4004
23,0,0,0,7.342010109570616e-06,0.0,4004
24,0,0,0,7.763981287691373e-06,0.0,4004
25,0,0,0,7.92517873611703e-06,0.0,4005
26,0,0,0,8.061333518696233e-06,0.0,4004
27,0,0,0,8.566126135767484e-06,0.0,4004
28,0,0,0,9.038524814553305e-06,0.0,4004
29,0,0,0,8.666958027048932e-06,0.0,4004
30,0,0,0,7.72047348195262e-06,0.0,4005
31,0,0,0,7.24296094200899e-06,0.0,4004
32,0,0,0,7.368670096956039e-06,0.0,4004
33,0,0,0,7.312950892259111e-06,0.0,4004
34,0,0,0,6.93812418712552e-06,0.0,4004
35,0,0,0,6.874685366838568e-06,0.0,4005
36,0,0,0,7.175759147971471e-06,0.0,4004
37,0,0,0,6.938315615684381e-06,0.0,4004
38,0,0,0,6.030042180049939e-06,0.0,4005
39,0,0,0,5.318270356704941e-06,0.0,4004
40,0,0,0,5.2111545915717645e-06,0.0,4004
41,0,0,0,5.175138151448599e-06,0.0,4005
42,0,0,0,4.6284652677572315e-06,0.0,4004
43,0,0,0,4.156295422071421e-06,0.0,4004
44,0,0,0,4.221050525091232e-06,0.0,4005
45,0,0,0,4.167250506740598e-06,0.0,4004
46,0,0,0,3.501768988437605e-06,0.0,4004
47,0,0,0,2.739200626490862e-06,0.0,4005
48,0,0,0,2.569175008846836e-06,0.0,4004
49,0,0,0,2.558434843273443e-06,0.0,4004
50,0,0,0,2.0769163613965935e-06,0.0,4004
51,0,0,0,1.3596326865571527e-06,0.0,4004
52,0,0,0,1.202089493066177e-06,0.0,4005
53,0,0,0,1.2810869580370099e-06,0.0,4005
54,0,0,0,8.966291445476996e-07,0.0,4004
55,0,0,0,2.5685634863015903e-07,0.0,4005
56,0,0,0,3.423144801046546e-08,0.0,4004
57,0,0,0,1.5920701773807856e-07,0.0,4004
58,0,0,0,1.2374800247864539e-07,0.0,4005
59,0,0,0,8.634087841023853e-07,0.0,4005
60,0,0,0,1.2183059275581999e-06,0.0,4004
61,0,0,0,1.0654132438167599e-06,0.0,4005
62,0,0,0,1.1413454152534228e-06,0.0,4004
63,0,0,0,1.6829142850239861e-06,0.0,4004
0,0,0,0,1.902885172966405e-06,0.0,4005
1,0,0,0,1.6156074805853094e-06,0.0,4004
2,0,0,0,1.6311701696406178e-06,0.0,4004
3,0,0,0,2.2379659986930844e-06,0.0,4004
4,0,0,0,2.7355197994392288e-06,0.0,4004
5,0,0,0,2.614669001095978e-06,0.0,4005
6,0,0,0,2.4553914660067144e-06,0.0,4004
7,0,0,0,2.7438057331353515e-06,0.0,4004
8,0,0,0,2.942523403763065e-06,0.0,4005
9,0,0,0,2.6283451643088166e-06,0.0,4004
10,0,0,0,2.3565619520072236e-06,0.0,4004
11,0,0,0,2.723787060224556e-06,0.0,4005
12,0,0,0,3.2650049950177903e-06,0.0,4004
13,0,0,0,3.2665871777596244e-06,0.0,4004
