timestamp,packet_nr,device_time_offset_us,raw_ch1_uv,raw_ch2_uv,rms_ch1_uv,rms_ch2_uv,norm_ch1,norm_ch2
1765479014.8014202,22,250,-0.8751549103180878,-0.40780749562448665,0.0003481529725752124,0.0026511564236018884,3.481529725752124e-07,2.410142203274444e-07
1765479015.1974876,22,250,-0.8795808147018155,-0.40947156776383054,0.0003681504703765962,0.0026891247331767595,3.6815047037659623e-07,2.4446588483425087e-07
1765479015.6024384,22,250,-0.8806359801383223,-0.41187816653594683,0.00031030250369368787,0.002737705039337815,3.103025036936879e-07,2.4888227630343773e-07
1765479016.0022388,22,250,-0.8832550975057529,-0.412733659989802,0.0003396615943863061,0.00266322811155945,3.3966159438630613e-07,2.421116465054046e-07
1765479016.4023466,22,250,-0.8851650363794761,-0.4145498072224048,0.0003287042255463157,0.002651907746856732,3.287042255463157e-07,2.410825224415211e-07
1765479016.8032222,22,260,-0.8854143895102121,-0.4157257838717972,0.0003190854092330755,0.0025913220940612784,3.190854092330755e-07,2.3557473582375257e-07
1765479017.1985326,22,244,-0.8863729211346557,-0.4172569939934571,0.00036013997154291707,0.002588164345757152,3.601399715429171e-07,2.3528766779610474e-07
1765479017.602318,22,250,-0.8883119638388356,-0.4165585020624955,0.00031315384176612104,0.002550203110745722,3.1315384176612106e-07,2.3183664643142927e-07
1765479018.0012288,22,250,-0.8880213802816191,-0.41554528706910787,0.0003665910113908026,0.0026383866711254876,3.665910113908026e-07,2.398533337386807e-07
1765479018.4002974,22,250,-0.8891554443835048,-0.41600856093282346,0.0003561203891524522,0.0026599191069237834,3.561203891524522e-07,2.4181082790216214e-07
1765479018.8033571,22,250,-0.8893856223342785,-0.4157136951713862,0.0003043213973586005,0.0026685437856772795,3.043213973586005e-07,2.425948896070254e-07
1765479019.201956,22,250,-0.8900706234271638,-0.41335609542632784,0.0003233920954445317,0.00274756129083898,3.233920954445317e-07,2.4977829916718e-07
1765479019.6030674,22,259,-0.8892946728641012,-0.413157143460315,0.00035012587267252703,0.0027249081284757676,3.5012587267252704e-07,2.477189207705243e-07
1765479020.0034363,22,243,-0.8908294451733431,-0.41201034643260454,0.0003632135010693522,0.0027218465155575615,3.6321350106935223e-07,2.474405923234147e-07
1765479020.4036026,22,250,-0.8907982191885822,-0.4126505549114275,0.0003270322874852789,0.0026417663673950816,3.270322874852789e-07,2.4016057885409835e-07
1765479020.8145509,22,250,-0.8912841925242295,-0.41166644374849665,0.00030005056315423684,0.002671482839525313,3.0005056315423683e-07,2.42862076320483e-07
1765479021.2034156,22,250,-0.8913076878040253,-0.4119868890484213,0.00033084209464049724,0.002691923608220433,3.3084209464049724e-07,2.447203280200394e-07
1765479021.6035407,22,250,-0.8915080040120907,-0.4125290236819031,0.00031846356409154203,0.0026326827924574034,3.1846356409154205e-07,2.393347993143094e-07
1765479022.0025852,22,250,-0.89202315696942,-0.41517652486315154,0.0003127048227041487,0.00272210809486885,3.127048227041487e-07,2.4746437226080457e-07
1765479022.4176304,22,251,-0.8926846627825095,-0.4162075128988363,0.0003005654874055941,0.0027481735490424352,3.005654874055941e-07,2.4983395900385773e-07
1765479022.8035192,22,250,-0.8926484345768889,-0.4189829117725215,0.00032813322601242854,0.0026816179478261664,3.2813322601242853e-07,2.4378344980237874e-07
1765479023.2162616,22,250,-0.8926775384073456,-0.4204722093466747,0.00027945058299057497,0.002773536672353704,2.79450582990575e-07,2.5213969748670036e-07
1765479023.6169877,22,251,-0.892375586166357,-0.42573731207085075,0.0003354302037608504,0.0028190585577657612,3.354302037608504e-07,2.562780507059783e-07
